date,Soiling,RapidFault,ModelDrift,HS,HR,GAP,Lost_kWh,ActEnergy,SimEnergy
2025-08-15,False,True,False,0.0,0.0,0.5409423308,1923.30699787,32.0,1923.30699787
2025-08-16,False,True,False,0.0,0.0,54.703649999999996,3110.62623437,0.0,3110.62623437
2025-08-17,True,True,False,0.0,0.0,6.251865000000002,2246.639781328,99.5,2246.639781328
2025-08-18,True,True,False,0.0,0.0,14.330598499999994,2323.644340066,56.25,2323.644340066
2025-08-19,True,True,True,0.0,0.0,43.07572999999999,3765.7598783,145.25,3765.7598783
2025-08-20,True,True,True,0.0,0.0,55.359382,3801.709965563,0.0,3801.709965563
2025-08-21,True,True,True,0.0,0.0,45.528909999999996,3706.973042883,154.25,3706.973042883
2025-08-22,True,True,True,0.0,0.0,28.986925999999997,2447.18789423,99.5,2447.18789423
2025-08-23,True,True,True,0.0,0.0,34.01486,3105.04557542,126.0,3105.04557542
2025-08-24,True,True,True,0.0,0.0,15.605639,3949.949831451,157.75,3949.949831451
2025-08-25,True,True,True,0.0,0.0,43.571342,2889.079085502,110.0,2889.079085502
2025-08-26,True,True,True,0.0,0.0,-7.3105880655,1258.233540449,29.0,1258.233540449
2025-08-27,True,True,True,0.0,0.0,15.44053249999999,2413.989181035,0.0,2413.989181035
2025-08-28,True,True,True,0.0,0.0,63.998580000000004,3324.8491088700002,0.0,3324.8491088700002
2025-08-29,True,True,True,0.0,0.0,0.6158069125000014,1883.300999473,201.5,1883.300999473
2025-08-30,True,True,True,0.0,0.0,18.783611500000003,2703.453976426,0.0,2703.453976426
2025-08-31,True,True,True,0.0,0.0,28.620382,2814.119093135,0.0,2814.119093135
2025-09-01,True,True,True,0.0,0.0,40.1564135,3348.7639363069998,100.5,3348.7639363069998
2025-09-02,True,True,True,0.0,0.0,40.364005999999996,3248.055753714,123.75,3248.055753714
2025-09-03,True,True,True,0.0,0.0,8.835314000000002,3229.176335494,0.0,3229.176335494
2025-09-04,True,True,True,0.0,0.0,14.496949999999998,2890.289271592,0.0,2890.289271592
2025-09-05,True,True,True,0.0,0.0,36.09535375,4422.514423811,0.0,4422.514423811
2025-09-06,True,True,True,0.0,0.0,63.234094999999996,4192.87448934,0.0,4192.87448934
2025-09-07,True,True,True,0.0,0.0,17.202118,1884.282509961,76.5,1884.282509961
2025-09-08,True,True,True,0.0,0.0,34.352272500000005,3214.123995266,150.5,3214.123995266
2025-09-09,True,True,True,0.0,0.0,26.943810000000013,2832.43359622,115.0,2832.43359622
2025-09-10,True,True,True,0.0,0.0,1.05141777,2142.7012178610003,0.0,2142.7012178610003
2025-09-11,True,True,True,0.0,0.0,18.588766,3154.94163093,134.5,3154.94163093
2025-09-12,True,True,True,0.0,0.0,38.21209950000001,3480.10652904,22.5,3480.10652904
2025-09-13,True,True,True,0.0,0.0,31.995029999999993,3303.10471303,0.0,3303.10471303
2025-09-14,True,True,True,0.0,0.0,88.95031,4733.604264553,0.0,4733.604264553
2025-09-15,True,True,True,0.0,0.0,66.78689499999999,4684.1021183,0.0,4684.1021183
2025-09-16,True,True,True,0.0,0.0,15.337254999999999,2436.62910254,0.0,2436.62910254
2025-09-17,True,True,True,0.0,0.0,6.4942199999999985,3694.925089063,0.0,3694.925089063
2025-09-18,True,True,True,0.0,0.0,57.75616000000001,4667.313511434,0.0,4667.313511434
2025-09-19,True,True,True,0.0,0.0,35.72022799999999,4562.49512624,0.0,4562.49512624
2025-09-20,True,True,True,0.0,0.0,22.03635,3543.9200104750003,0.0,3543.9200104750003
2025-09-21,True,True,True,0.0,0.0,14.734994,2107.270134278,0.0,2107.270134278
2025-09-22,True,True,True,0.0,0.0,21.114617000000003,3823.11679354,0.0,3823.11679354
2025-09-23,True,True,True,0.0,0.0,25.107009999999992,3627.80504442,0.0,3627.80504442
2025-09-24,True,True,True,0.0,0.0,17.643004999999995,2706.151638265,0.0,2706.151638265
2025-09-25,True,True,True,0.0,0.0,12.658524,2445.097017983,0.0,2445.097017983
2025-09-26,True,True,True,0.0,0.0,9.516555000000011,2550.650812025,57.25,2550.650812025
2025-09-27,True,True,True,0.0,0.0,41.154796,4732.844789924,0.0,4732.844789924
2025-09-28,True,True,True,0.0,0.0,15.9734475,4193.818874548,0.0,4193.818874548
2025-09-29,True,True,True,0.0,0.0,68.572867,4936.682412561,0.0,4936.682412561
2025-09-30,True,True,True,0.0,0.0,15.633679999999998,3291.34085109,0.0,3291.34085109
2025-10-01,True,True,True,0.0,0.0,33.326601499999995,3425.328104707,0.0,3425.328104707
2025-10-02,True,True,True,0.0,0.0,0.005036864000000002,2806.187432247,0.0,2806.187432247
