date,Soiling,RapidFault,ModelDrift,HS,HR,GAP,Lost_kWh,ActEnergy,SimEnergy
2025-08-15,False,True,False,0.0,0.0,0.403959875,346.492386924,32.71875,346.492386924
2025-08-16,False,True,False,0.0,0.0,9.777636999999999,609.134081884,0.0,609.134081884
2025-08-17,True,True,False,0.0,0.0,3.668686000000001,424.112324844,209.90625,424.112324844
2025-08-18,True,True,False,0.0,0.0,5.960159600000001,443.2028058,108.28125,443.2028058
2025-08-19,True,True,True,0.0,0.0,6.619479999999996,751.4108188499999,323.375,751.4108188499999
2025-08-20,True,True,True,0.0,0.0,1.7843517100000001,742.78193406,0.0,742.78193406
2025-08-21,True,True,True,0.0,0.0,0.41484744,698.928750144,332.21875,698.928750144
2025-08-22,True,True,True,0.0,0.0,1.7679599999999995,439.49859915999997,210.375,439.49859915999997
2025-08-23,True,True,True,0.0,0.0,7.430931999999999,589.166757737,268.15625,589.166757737
2025-08-24,True,True,True,0.0,0.0,10.641781000000002,773.15871611,346.75,773.15871611
2025-08-25,True,True,True,0.0,0.0,1.3831819999999997,519.90304986,219.5625,519.90304986
2025-08-26,True,True,True,0.0,0.0,-0.287645784,204.883594671,52.3125,204.883594671
2025-08-27,True,True,True,0.0,0.0,2.3839500000000005,432.048153872,0.0,432.048153872
2025-08-28,True,True,True,0.0,0.0,9.256239999999998,630.28175693,0.0,630.28175693
2025-08-29,True,True,True,0.0,0.0,1.4635587499999998,334.75569403000003,199.625,334.75569403000003
2025-08-30,True,True,True,0.0,0.0,0.26650061999999997,499.953871106,0.0,499.953871106
2025-08-31,True,True,True,0.0,0.0,4.415376000000002,511.38669742,0.0,511.38669742
2025-09-01,True,True,True,0.0,0.0,5.890645999999997,633.80275377,200.875,633.80275377
2025-09-02,True,True,True,0.3377778535832541,0.08531478630830089,7.421585999999998,392.4216142153158,249.0625,592.58304232
2025-09-03,True,True,True,0.0,0.0,2.903542999999999,596.046232116,0.0,596.046232116
2025-09-04,True,True,True,0.0,0.0,1.866143000000001,527.69091508,0.0,527.69091508
2025-09-05,True,True,True,0.0,0.0,5.13805105,849.338942318,0.0,849.338942318
2025-09-06,True,True,True,0.0,0.0,7.513514000000001,786.50464694,0.0,786.50464694
2025-09-07,True,True,True,0.0,0.0,0.31373307500000003,321.155028515,141.75,321.155028515
2025-09-08,True,True,True,0.0,0.0,7.973613,577.203573377,307.875,577.203573377
2025-09-09,True,True,True,0.0,0.0,3.3433054,508.698763946,227.75,508.698763946
2025-09-10,True,True,True,0.0,0.0,0.6875009999999993,371.072369195,0.0,371.072369195
2025-09-11,True,True,True,0.0,0.0,5.005364999999998,578.50630761,277.9375,578.50630761
2025-09-12,True,True,True,0.0,0.0,4.006176,652.791346286,40.625,652.791346286
2025-09-13,True,True,True,0.0,0.0,1.6368750000000016,600.69615934,0.0,600.69615934
2025-09-14,True,True,True,0.0,0.0,9.193599999999996,878.247814556,0.0,878.247814556
2025-09-15,True,True,True,0.0,0.0,6.33351305,895.17242895,0.0,895.17242895
2025-09-16,True,True,True,0.0,0.0,0.3807799999999979,426.785512536,0.0,426.785512536
2025-09-17,True,True,True,0.0,0.0,2.9616239999999996,677.958733305,0.0,677.958733305
2025-09-18,True,True,True,0.0,0.0,3.2240119000000003,884.369177979,0.0,884.369177979
2025-09-19,True,True,True,0.0,0.0,5.099591500000001,835.975216404,0.0,835.975216404
2025-09-20,True,True,True,0.0,0.0,4.687693499999998,665.47128631,0.0,665.47128631
2025-09-21,True,True,True,0.0,0.0,1.3882605000000003,357.564557035,0.0,357.564557035
2025-09-22,True,True,True,0.0,0.0,7.576889000000001,731.2167822499999,0.0,731.2167822499999
2025-09-23,True,True,True,0.0,0.0,2.551226000000007,669.36506929,0.0,669.36506929
2025-09-24,True,True,True,0.0,0.0,1.7587468499999996,471.63176066,0.0,471.63176066
2025-09-25,True,True,True,0.0,0.0,0.2943442000000023,423.488935866,0.0,423.488935866
2025-09-26,True,True,True,0.0,0.0,-0.059544323499999996,428.749619186,0.0,428.749619186
2025-09-27,True,True,True,0.0,0.0,7.969311999999999,900.38463534,0.0,900.38463534
2025-09-28,True,True,True,0.0,0.0,0.33111705749999987,777.835966998,0.0,777.835966998
2025-09-29,True,True,True,0.0,0.0,0.8199702500000001,921.511912921,0.0,921.511912921
2025-09-30,True,True,True,0.0,0.0,1.1765037500000006,580.984587247,0.0,580.984587247
2025-10-01,True,True,True,0.0,0.0,2.0763865,623.78079819,0.0,623.78079819
2025-10-02,True,True,True,0.0,0.0,0.116805637,510.65153561,0.0,510.65153561
2025-10-03,True,True,True,0.0,0.0,0.5277370000000001,495.32729226600003,0.0,495.32729226600003
2025-10-04,True,True,True,0.0,0.0,5.835940000000001,1005.06085317,0.0,1005.06085317
2025-10-05,True,True,True,0.0,0.0,0.331068685,396.9151092,0.0,396.9151092
2025-10-06,True,True,True,0.0,0.0,0.2658963849999999,631.245730036,0.0,631.245730036
2025-10-07,True,True,True,0.0,0.0,0.37610488,1020.930157312,0.0,1020.930157312
2025-10-08,True,True,True,0.0,0.0,0.43848544000000017,792.823420756,0.0,792.823420756
2025-10-09,True,True,True,0.0,0.0,3.7286833999999986,913.75002035,0.0,913.75002035
2025-10-10,True,True,True,0.0,0.0,1.1613795370000002,665.577707739,0.0,665.577707739
2025-10-11,True,True,True,0.0,0.0,3.783045999999999,831.933044927,0.0,831.933044927
2025-10-12,True,True,True,0.0,0.0,0.6316792499999997,560.069874036,0.0,560.069874036
2025-10-13,True,True,True,0.0,0.0,8.22935,1079.03820926,0.0,1079.03820926
2025-10-14,True,True,True,0.0,0.0,1.0865363700000001,1013.040790984,0.0,1013.040790984
2025-10-15,True,True,True,0.0,0.0,6.408699999999996,1138.51542292,0.0,1138.51542292
2025-10-16,True,True,True,0.0,0.0,1.78687979,944.900817932,0.0,944.900817932
2025-10-17,True,True,True,0.0,0.0,1.5660837,762.307195896,0.0,762.307195896
2025-10-18,True,True,True,0.0,0.0,5.9462325000000025,1088.866473774,0.0,1088.866473774
2025-10-19,True,True,True,0.0,0.0,0.19463112500000002,382.65205827,0.0,382.65205827
2025-10-20,True,True,True,0.0,0.0,0.1279783675,403.893523315,0.0,403.893523315
2025-10-21,True,True,True,0.0,0.0,0.05111134,712.859423766,0.0,712.859423766
2025-10-22,True,True,True,0.0,0.0,0.07388286,602.33862119,0.0,602.33862119
2025-10-23,True,True,True,0.0,0.0,0.272859245,755.278898915,0.0,755.278898915
2025-10-24,True,True,True,0.0,0.0,2.130015,922.471339624,0.0,922.471339624
2025-10-25,True,True,True,0.0,0.0,0.34806033000000003,705.45883161,0.0,705.45883161
2025-10-26,True,True,True,0.0,0.0,1.2025739999999985,515.82224799,0.0,515.82224799
