date,Soiling,RapidFault,ModelDrift,HS,HR,GAP,Lost_kWh,ActEnergy,SimEnergy
2025-08-15,False,True,False,0.0,0.0,0.10346205000000008,182.59633387,18.53125,182.59633387
2025-08-16,False,True,False,0.0,0.0,1.4181339999999985,283.972108,0.0,283.972108
2025-08-17,True,True,False,0.0,0.0,0.9820449999999994,212.64182436,111.40625,212.64182436
2025-08-18,True,True,False,0.0,0.0,0.9001078000000002,214.49800705,62.8125,214.49800705
2025-08-19,True,True,True,0.0,0.0,1.1867543999999999,344.18221411999997,172.90625,344.18221411999997
2025-08-20,True,True,True,0.0,0.0,0.7233521279999999,347.424850261,0.0,347.424850261
2025-08-21,True,True,True,0.0,0.0,0.024871245,339.08219065000003,178.0625,339.08219065000003
2025-08-22,True,True,True,0.0,0.0,1.6667439999999996,234.32450727,116.5,234.32450727
2025-08-23,True,True,True,0.0,0.0,1.89639885,289.06393099999997,139.8125,289.06393099999997
2025-08-24,True,True,True,0.2373451511833884,0.1942043215899275,0.9990750000000013,273.45478931297157,183.90625,358.5564161
2025-08-25,True,True,True,0.0,0.0,0.8573950000000004,277.39090243,124.9375,277.39090243
2025-08-26,True,True,True,0.0,0.0,-1.58590556,121.914097326,29.75,121.914097326
2025-08-27,True,True,True,0.0,0.0,2.2163174000000003,227.312556,0.0,227.312556
2025-08-28,True,True,True,0.0,0.0,2.2831913000000004,311.791839594,0.0,311.791839594
2025-08-29,True,True,True,0.0,0.0,-0.09281085000000011,179.98954655,113.09375,179.98954655
2025-08-30,True,True,True,0.0,0.0,0.5187342000000004,256.1413399,0.0,256.1413399
2025-08-31,True,True,True,0.0,0.0,1.0048124999999999,265.25591124,0.0,265.25591124
2025-09-01,True,True,True,0.0,0.0,1.2778095000000012,311.89302084,110.15625,311.89302084
2025-09-02,True,True,True,0.0,0.0,1.5963026000000005,302.843494312,134.71875,302.843494312
2025-09-03,True,True,True,0.0,0.0,1.5741697500000003,309.66573375,0.0,309.66573375
2025-09-04,True,True,True,0.0,0.0,2.095015,275.549671745,0.0,275.549671745
2025-09-05,True,True,True,0.0,0.0,1.1577210000000022,410.31110797,0.0,410.31110797
2025-09-06,True,True,True,0.0,0.0,1.4379992499999998,391.10091091,0.0,391.10091091
2025-09-07,True,True,True,0.0,0.0,0.6615860000000016,180.975108912,80.59375,180.975108912
2025-09-08,True,True,True,0.29680517954956276,0.2711326420795778,3.3318594,211.47009792939755,174.3125,300.7276103
2025-09-09,True,True,True,0.05456473085610387,0.04168765501137639,2.055517,252.83847470409475,125.71875,267.43076227
2025-09-10,True,True,True,0.0,0.0,-0.29820586000000004,207.91606138,0.0,207.91606138
2025-09-11,True,True,True,0.3661794073025164,0.4426672409658455,2.071909,190.86358733989556,151.9375,301.13188107
2025-09-12,True,True,True,0.0,0.0,1.2376693500000004,331.83956664,23.9375,331.83956664
2025-09-13,True,True,True,0.0,0.0,0.966367,317.13047808,0.0,317.13047808
2025-09-14,True,True,True,0.0,0.0,3.3621669999999995,440.64100987,0.0,440.64100987
2025-09-15,True,True,True,0.0,0.0,5.220652000000001,433.2309138,0.0,433.2309138
2025-09-16,True,True,True,0.0,0.0,0.18811837,233.29040021699998,0.0,233.29040021699998
