date,HS,HR,GAP,ActEnergy,SimEnergy,N_pts,HS_ref,HR_ref,ΔHS,ΔHR,Lost_kWh
2025-08-15,0.0,0.0,0.23198319999999972,19.1875,240.50623646,23,,,,,240.50623646
2025-08-16,0.0,0.0,0.01607299999999867,0.0,398.18635533,21,,,,,398.18635533
2025-08-17,0.0,0.0,-0.06964158999999998,142.9375,286.12895926,21,,,,,286.12895926
2025-08-18,0.0,0.0,-2.2084530000000004,85.5625,289.29572816,21,,,,,289.29572816
2025-08-19,0.13125482699309002,0.19905672435282679,-1.1464010000000044,262.25,474.13368264,22,,,,,411.9013481534902
2025-08-20,0.0,0.0,0.9765244449999995,0.0,476.02768034,24,,,,,476.02768034
2025-08-21,0.0,0.0,0.35416000000000025,247.875,468.432343146,27,,,,,468.432343146
2025-08-22,0.0,0.0,0.6473690000000012,161.8125,310.95877999,21,,,,,310.95877999
2025-08-23,0.0,0.0,0.8675682500000002,203.53125,403.0062071,22,,,,,403.0062071
2025-08-24,0.0,0.0,1.2816720499999996,265.84375,506.02445019,22,0.0,0.0,0.0,0.0,506.02445019
2025-08-25,0.0,0.0,0.13571500000000114,173.71875,370.53090345,25,0.0,0.0,0.0,0.0,370.53090345
2025-08-26,0.0,0.0,-0.7466942999999997,45.09375,155.772158995,23,0.0,0.0,0.0,0.0,155.772158995
2025-08-27,0.0,0.0,0.3568219999999993,0.0,304.5975478,21,0.0,0.0,0.0,0.0,304.5975478
2025-08-28,0.0,0.0,0.06576835000000025,0.0,431.9036771,22,0.0,0.0,0.0,0.0,431.9036771
2025-08-29,0.0,0.0,-1.6785940999999998,154.96875,236.3767218,21,0.0,0.0,0.0,0.0,236.3767218
2025-08-30,0.0,0.0,0.3861429999999997,0.0,344.23050183,22,0.0,0.0,0.0,0.0,344.23050183
2025-08-31,0.0,0.0,0.4626715499999996,0.0,359.47622713,22,0.0,0.0,0.0,0.0,359.47622713
2025-09-01,0.0,0.0,-0.2386308000000006,173.0625,432.624899584,22,0.0,0.0,0.0,0.0,432.624899584
2025-09-02,0.0,0.0,-0.8120465699999991,201.0,419.86072172,26,0.0,0.0,0.0,0.0,419.86072172
2025-09-03,0.0,0.0,0.8377296500000001,0.0,420.750945256,26,0.0,0.0,0.0,0.0,420.750945256
2025-09-04,0.0,0.0,-0.02365410000000001,0.0,364.32062719,23,0.0,0.0,0.0,0.0,364.32062719
2025-09-05,0.0,0.0,0.8249819999999985,0.0,561.310940043,24,0.0,0.0,0.0,0.0,561.310940043
2025-09-06,0.0,0.0,0.12687088,0.0,541.87414202,28,0.0,0.0,0.0,0.0,541.87414202
2025-09-07,0.0,0.0,0.15006355500000002,101.9375,237.58171343,33,0.0,0.0,0.0,0.0,237.58171343
2025-09-08,0.12183943628694222,0.08326218671991657,-0.41788740000000013,268.875,408.4505739,23,0.0,0.0,0.12183943628694222,0.08326218671991657,358.685186224946
2025-09-09,0.08344535482807346,0.032827835441256795,-0.7235503000000003,167.34375,358.78999044,23,0.0,0.0,0.08344535482807346,0.032827835441256795,328.8506323789731
2025-09-10,0.0,0.0,-1.4617629999999995,0.0,270.77850554,23,0.0,0.0,0.0,0.0,270.77850554
2025-09-11,0.055889981331851996,0.026825980081817094,-0.7503132400000001,193.90625,406.05609296,23,0.0,0.0,0.055889981331851996,0.026825980081817094,383.3616255047809
2025-09-12,0.0,0.0,1.1183168499999998,36.6875,451.686835094,24,0.0,0.0,0.0,0.0,451.686835094
2025-09-13,0.0,0.0,1.3205359999999988,0.0,428.38764786999997,23,0.0,0.0,0.0,0.0,428.38764786999997
2025-09-14,0.0,0.0,3.5158010000000033,0.0,614.9697209,23,0.0,0.0,0.0,0.0,614.9697209
2025-09-15,0.0,0.0,3.4423085499999995,0.0,613.78141733,34,0.0,0.0,0.0,0.0,613.78141733
2025-09-16,0.0,0.0,-0.34468680000000024,0.0,307.43789164,28,0.0,0.0,0.0,0.0,307.43789164
2025-09-17,0.0,0.0,-0.11179000000000006,0.0,478.56307438700003,29,0.0,0.0,0.0,0.0,478.56307438700003
2025-09-18,0.0,0.0,3.443426800000001,0.0,601.523630615,24,0.0,0.0,0.0,0.0,601.523630615
2025-09-19,0.0,0.0,3.883562500000002,0.0,587.38157204,30,0.0,0.0,0.0,0.0,587.38157204
2025-09-20,0.0,0.0,0.7769790000000008,0.0,456.95034674000004,24,0.0,0.0,0.0,0.0,456.95034674000004
2025-09-21,0.0,0.0,-1.17051335,0.0,264.05577995,23,0.0,0.0,0.0,0.0,264.05577995
2025-09-22,0.0,0.0,1.3688389999999995,0.0,492.5926308,23,0.0,0.0,0.0,0.0,492.5926308
2025-09-23,0.0,0.0,0.100921446,0.0,466.516748668,26,0.0,0.0,0.0,0.0,466.516748668
2025-09-24,0.0,0.0,-0.4026206000000001,0.0,340.7604328,23,0.0,0.0,0.0,0.0,340.7604328
2025-09-25,0.0,0.0,-0.26930796,0.0,308.3393232,23,0.0,0.0,0.0,0.0,308.3393232
2025-09-26,0.0,0.0,-0.505155499999999,0.0,319.022589772,27,0.0,0.0,0.0,0.0,319.022589772
2025-09-27,0.0,0.0,4.215539000000003,0.0,606.226954979,29,0.0,0.0,0.0,0.0,606.226954979
2025-09-28,0.0,0.0,1.1591349999999991,0.0,542.177269904,27,0.0,0.0,0.0,0.0,542.177269904
2025-09-29,0.0,0.0,0.4263561650000005,0.0,640.390174002,26,0.0,0.0,0.0,0.0,640.390174002
2025-09-30,0.0,0.0,0.23956538975,0.0,420.718500513,32,0.0,0.0,0.0,0.0,420.718500513
2025-10-01,0.0,0.0,-0.7020249649999998,0.0,433.597586767,26,0.0,0.0,0.0,0.0,433.597586767
2025-10-02,0.0,0.0,-0.9732556500000001,0.0,354.535604032,28,0.0,0.0,0.0,0.0,354.535604032
2025-10-03,0.0,0.0,-0.19093059999999995,0.0,363.928374086,27,0.0,0.0,0.0,0.0,363.928374086
2025-10-04,0.0,0.0,1.784827,0.0,710.15317628,27,0.0,0.0,0.0,0.0,710.15317628
2025-10-05,0.0,0.0,-0.33654397,0.0,287.63751061,25,0.0,0.0,0.0,0.0,287.63751061
2025-10-06,0.0,0.0,0.11626091799999999,0.0,442.38130732,28,0.0,0.0,0.0,0.0,442.38130732
2025-10-07,0.0,0.0,3.079754000000001,0.0,701.36132985,26,0.0,0.0,0.0,0.0,701.36132985
2025-10-08,0.0,0.0,2.795047500000001,0.0,558.213930068,28,0.0,0.0,0.0,0.0,558.213930068
2025-10-09,0.0,0.0,4.873144000000002,0.0,628.04535277,29,0.0,0.0,0.0,0.0,628.04535277
2025-10-10,0.0,0.0,0.9198046,0.0,468.90037729,29,0.0,0.0,0.0,0.0,468.90037729
2025-10-11,0.0,0.0,3.9756280000000004,0.0,589.44133631,29,0.0,0.0,0.0,0.0,589.44133631
2025-10-12,0.0,0.0,-0.68742306,0.0,404.04076547,25,0.0,0.0,0.0,0.0,404.04076547
2025-10-13,0.0,0.0,1.1979640000000007,0.0,728.48318045,31,0.0,0.0,0.0,0.0,728.48318045
2025-10-14,0.0,0.0,1.798819500000004,0.0,707.759667066,28,0.0,0.0,0.0,0.0,707.759667066
2025-10-15,0.0,0.0,1.7459184,0.0,807.8189344,26,0.0,0.0,0.0,0.0,807.8189344
2025-10-16,0.0,0.0,2.3310855000000004,0.0,656.140476764,30,0.0,0.0,0.0,0.0,656.140476764
2025-10-17,0.0,0.0,-0.7980072000000007,0.0,541.1376227,26,0.0,0.0,0.0,0.0,541.1376227
2025-10-18,0.0,0.0,1.515352,0.0,761.842039568,31,0.0,0.0,0.0,0.0,761.842039568
2025-10-19,0.0,0.0,0.02652829999999995,0.0,269.092627335,39,0.0,0.0,0.0,0.0,269.092627335
2025-10-20,0.0,0.0,-1.2391039,0.0,302.06655152,26,0.0,0.0,0.0,0.0,302.06655152
2025-10-21,0.0,0.0,0.098270724,0.0,493.363337701,32,0.0,0.0,0.0,0.0,493.363337701
2025-10-22,0.0,0.0,0.3381980999999996,0.0,438.277363146,31,0.0,0.0,0.0,0.0,438.277363146
2025-10-23,0.0,0.0,0.03086600000000006,0.0,524.88434052,27,0.0,0.0,0.0,0.0,524.88434052
2025-10-24,0.0,0.0,0.9120757999999998,0.0,637.81556309,29,0.0,0.0,0.0,0.0,637.81556309
2025-10-25,0.0,0.0,-0.996927565,0.0,499.23416973,26,0.0,0.0,0.0,0.0,499.23416973
2025-10-26,0.0,0.0,-1.3539565000000007,0.0,374.42681854,26,0.0,0.0,0.0,0.0,374.42681854
2025-10-27,0.0,0.0,0.177990154,0.0,0.077994354,1,0.0,0.0,0.0,0.0,0.077994354
