date,HS,HR,GAP,ActEnergy,SimEnergy,N_pts,HS_ref,HR_ref,ΔHS,ΔHR,Lost_kWh
2025-08-15,0.0,0.0,0.005593600000000087,39.5,219.245129418,23,,,,,219.245129418
2025-08-16,0.0,0.0,3.0041952,0.0,366.543452516,22,,,,,366.543452516
2025-08-17,0.0,0.0,0.6929049999999997,131.59375,260.570982067,27,,,,,260.570982067
2025-08-18,0.13195027304192652,0.18917997705221656,2.2152745000000005,70.84375,270.40209341,22,,,,,234.722463353442
2025-08-19,0.0,0.0,6.030789900000001,192.125,476.299767845,25,,,,,476.299767845
2025-08-20,0.0,0.0,3.248584000000001,0.0,483.72979672,29,,,,,483.72979672
2025-08-21,0.0,0.0,2.448283,201.84375,470.488719871,28,,,,,470.488719871
2025-08-22,0.0,0.0,1.9737722499999997,132.75,284.4476266,24,,,,,284.4476266
2025-08-23,0.0,0.0,2.9650540000000003,173.125,362.73687165,23,,,,,362.73687165
2025-08-24,0.11915566290690065,0.13341597149277934,6.000513999999999,209.5625,488.00115837,22,0.0,0.0,0.11915566290690065,0.13341597149277934,429.8530568450872
2025-08-25,0.0,0.0,2.394999549999999,136.0,349.29469684000003,22,0.0,0.0,0.0,0.0,349.29469684000003
2025-08-26,0.0,0.0,-1.1045143,36.21875,138.79609547,25,0.0,0.0,0.0,0.0,138.79609547
2025-08-27,0.0,0.0,0.8918102499999998,0.0,270.619733363,22,0.0,0.0,0.0,0.0,270.619733363
2025-08-28,0.0,0.0,2.3164955000000003,0.0,383.454500721,26,0.0,0.0,0.0,0.0,383.454500721
2025-08-29,0.0,0.0,-0.20774559999999997,127.46875,203.685488,21,0.0,0.0,0.0,0.0,203.685488
2025-08-30,0.0,0.0,1.5936034999999995,0.0,309.95647569,22,0.0,0.0,0.0,0.0,309.95647569
2025-08-31,0.0,0.0,2.0804489999999998,0.0,322.58284547,22,0.0,0.0,0.0,0.0,322.58284547
2025-09-01,0.0,0.0,3.5196039999999975,121.0,407.50799,21,0.0,0.0,0.0,0.0,407.50799
2025-09-02,0.0,0.0,4.273913,155.4375,379.424733712,22,0.0,0.0,0.0,0.0,379.424733712
2025-09-03,0.0,0.0,1.5035756000000005,0.0,373.991624936,27,0.0,0.0,0.0,0.0,373.991624936
2025-09-04,0.0,0.0,1.232094849999999,0.0,334.323317283,30,0.0,0.0,0.0,0.0,334.323317283
2025-09-05,0.0,0.0,3.3545686999999997,0.0,548.573761728,26,0.0,0.0,0.0,0.0,548.573761728
2025-09-06,0.0,0.0,4.288920500000001,0.0,519.86623468,22,0.0,0.0,0.0,0.0,519.86623468
2025-09-07,0.0,0.0,0.2044717035,94.28125,209.917340712,30,0.0,0.0,0.0,0.0,209.917340712
2025-09-08,0.14938345072602857,0.3074895648052993,4.625240000000001,190.40625,370.33093144,23,0.0,0.0,0.14938345072602857,0.3074895648052993,315.0096189909085
2025-09-09,0.017829573242745787,0.020584862244059844,2.787072499999999,149.28125,329.12322582,24,0.0,0.0,0.017829573242745787,0.020584862244059844,323.25509915935356
2025-09-10,0.0,0.0,-0.013114144999999994,0.0,243.89896540499998,27,0.0,0.0,0.0,0.0,243.89896540499998
2025-09-11,0.3369373836957365,0.35328189305851676,2.4207590000000003,176.78125,363.42843455,23,0.0,0.0,0.3369373836957365,0.35328189305851676,240.9758086520858
2025-09-12,0.0,0.0,2.3682239999999988,25.1875,411.50809244,24,0.0,0.0,0.0,0.0,411.50809244
2025-09-13,0.0,0.0,0.5801130000000003,0.0,378.36398554,24,0.0,0.0,0.0,0.0,378.36398554
2025-09-14,0.0,0.0,2.7270425,0.0,582.231004186,31,0.0,0.0,0.0,0.0,582.231004186
2025-09-15,0.0,0.0,2.6054690000000065,0.0,577.34007088,33,0.0,0.0,0.0,0.0,577.34007088
2025-09-16,0.0,0.0,0.147175427,0.0,277.39748743,25,0.0,0.0,0.0,0.0,277.39748743
2025-09-17,0.0,0.0,1.7572205000000007,0.0,441.393917295,30,0.0,0.0,0.0,0.0,441.393917295
2025-09-18,0.0,0.0,2.4262524999999986,0.0,575.447207981,28,0.0,0.0,0.0,0.0,575.447207981
2025-09-19,0.0,0.0,3.888656499999998,0.0,556.801986273,28,0.0,0.0,0.0,0.0,556.801986273
2025-09-20,0.0,0.0,2.7221956499999997,0.0,414.62584613,26,0.0,0.0,0.0,0.0,414.62584613
2025-09-21,0.0,0.0,-0.09181699999999893,0.0,236.9290207,23,0.0,0.0,0.0,0.0,236.9290207
2025-09-22,0.0,0.0,3.0002340000000025,0.0,443.903342994,27,0.0,0.0,0.0,0.0,443.903342994
2025-09-23,0.0,0.0,0.5410242999999997,0.0,422.835355616,26,0.0,0.0,0.0,0.0,422.835355616
2025-09-24,0.0,0.0,0.4860603000000001,0.0,306.99186968,23,0.0,0.0,0.0,0.0,306.99186968
2025-09-25,0.0,0.0,0.21125379999999994,0.0,274.65929597,23,0.0,0.0,0.0,0.0,274.65929597
2025-09-26,0.0,0.0,0.03562217599999999,0.0,285.639283434,24,0.0,0.0,0.0,0.0,285.639283434
2025-09-27,0.0,0.0,3.8083519999999993,0.0,565.50896888,29,0.0,0.0,0.0,0.0,565.50896888
2025-09-28,0.0,0.0,3.739669600000001,0.0,500.99464855,29,0.0,0.0,0.0,0.0,500.99464855
2025-09-29,0.0,0.0,1.4931029999999978,0.0,608.803717716,29,0.0,0.0,0.0,0.0,608.803717716
2025-09-30,0.0,0.0,2.458217000000001,0.0,373.0151029,23,0.0,0.0,0.0,0.0,373.0151029
2025-10-01,0.0,0.0,1.1906950000000016,0.0,392.43240556,27,0.0,0.0,0.0,0.0,392.43240556
2025-10-02,0.0,0.0,0.7970247500000003,0.0,326.70546195000003,24,0.0,0.0,0.0,0.0,326.70546195000003
2025-10-03,0.0,0.0,0.21638100000000016,0.0,327.936411683,28,0.0,0.0,0.0,0.0,327.936411683
2025-10-04,0.0,0.0,4.2988750000000024,0.0,660.854059426,29,0.0,0.0,0.0,0.0,660.854059426
2025-10-05,0.0,0.0,0.133673247327,0.0,259.371173694,29,0.0,0.0,0.0,0.0,259.371173694
2025-10-06,0.0,0.0,0.212402075,0.0,409.125994171,34,0.0,0.0,0.0,0.0,409.125994171
2025-10-07,0.0,0.0,4.287647,0.0,672.131669579,26,0.0,0.0,0.0,0.0,672.131669579
2025-10-08,0.0,0.0,1.3170985000000002,0.0,520.701089293,39,0.0,0.0,0.0,0.0,520.701089293
2025-10-09,0.0,0.0,3.2208024999999996,0.0,601.597245475,32,0.0,0.0,0.0,0.0,601.597245475
2025-10-10,0.0,0.0,0.625254015,0.0,435.548424538,39,0.0,0.0,0.0,0.0,435.548424538
2025-10-11,0.0,0.0,2.1247430000000023,0.0,548.5253944460001,31,0.0,0.0,0.0,0.0,548.5253944460001
2025-10-12,0.0,0.0,0.3392603000000003,0.0,367.58640408,25,0.0,0.0,0.0,0.0,367.58640408
2025-10-13,0.0,0.0,4.531794250000001,0.0,692.9148436,32,0.0,0.0,0.0,0.0,692.9148436
2025-10-14,0.0,0.0,2.024149999999999,0.0,663.692407587,37,0.0,0.0,0.0,0.0,663.692407587
2025-10-15,0.0,0.0,4.191618000000002,0.0,758.8497280400001,27,0.0,0.0,0.0,0.0,758.8497280400001
2025-10-16,0.0,0.0,2.200189999999999,0.0,611.813408397,33,0.0,0.0,0.0,0.0,611.813408397
2025-10-17,0.0,0.0,1.6308439999999997,0.0,494.368703714,29,0.0,0.0,0.0,0.0,494.368703714
2025-10-18,0.0,0.0,3.3548829999999974,0.0,711.12493064,27,0.0,0.0,0.0,0.0,711.12493064
2025-10-19,0.0,0.0,0.151358239,0.0,239.19433095,40,0.0,0.0,0.0,0.0,239.19433095
2025-10-20,0.0,0.0,-0.15202344499999998,0.0,271.45112826,26,0.0,0.0,0.0,0.0,271.45112826
2025-10-21,0.0,0.0,0.1358425,0.0,452.761631864,29,0.0,0.0,0.0,0.0,452.761631864
2025-10-22,0.0,0.0,0.156746917,0.0,390.981406286,41,0.0,0.0,0.0,0.0,390.981406286
2025-10-23,0.0,0.0,0.44928099999999915,0.0,489.614710572,30,0.0,0.0,0.0,0.0,489.614710572
2025-10-24,0.0,0.0,0.9039587499999997,0.0,585.996039672,36,0.0,0.0,0.0,0.0,585.996039672
2025-10-25,0.0,0.0,0.4702824999999997,0.0,456.357566576,37,0.0,0.0,0.0,0.0,456.357566576
2025-10-26,0.0,0.0,0.7173189999999998,0.0,331.943428615,29,0.0,0.0,0.0,0.0,331.943428615
2025-10-27,0.0,0.0,-0.600040035,0.0,0.062178165,1,0.0,0.0,0.0,0.0,0.062178165
