date,HS,HR,GAP,ActEnergy,SimEnergy,N_pts,HS_ref,HR_ref,ΔHS,ΔHR,Lost_kWh
2025-08-15,0.0,0.0,0.9029182,7.625,281.187195185,27,,,,,281.187195185
2025-08-16,0.0,0.0,1.0261063,0.0,475.55481188,21,,,,,475.55481188
2025-08-17,0.0,0.0,-1.671644999999999,50.21875,335.31624945,21,,,,,335.31624945
2025-08-18,0.0,0.0,-1.6510670000000012,25.53125,350.80952596,21,,,,,350.80952596
2025-08-19,0.0826015978690073,0.05125069799916144,-0.3509182449999996,88.125,579.07241737,22,,,,,531.2401104133693
2025-08-20,0.0,0.0,-1.641228435,0.0,584.37220904,24,,,,,584.37220904
2025-08-21,0.0,0.0,0.9949595000000011,90.8125,558.441262949,24,,,,,558.441262949
2025-08-22,0.0,0.0,0.9860860000000002,50.125,357.15508769999997,21,,,,,357.15508769999997
2025-08-23,0.0,0.0,1.7117257499999998,66.59375,468.88615258,22,,,,,468.88615258
2025-08-24,0.09278180815875482,0.1419004553856076,4.662566249999999,92.90625,600.7264446,22,0.0,0.0,0.09278180815875482,0.1419004553856076,544.989958861232
2025-08-25,0.0,0.0,1.0851657100000005,56.34375,437.863217058,26,0.0,0.0,0.0,0.0,437.863217058
2025-08-26,0.0,0.0,-0.12104600000000154,12.1875,175.592320871,31,0.0,0.0,0.0,0.0,175.592320871
2025-08-27,0.0,0.0,1.434642000000001,0.0,351.936324172,22,0.0,0.0,0.0,0.0,351.936324172
2025-08-28,0.0,0.0,1.0072627819999997,0.0,502.36265186,22,0.0,0.0,0.0,0.0,502.36265186
2025-08-29,0.0,0.0,0.8034000000000017,50.359375,269.5558349,21,0.0,0.0,0.0,0.0,269.5558349
2025-08-30,0.0,0.0,1.951888000000002,0.0,404.431695924,22,0.0,0.0,0.0,0.0,404.431695924
2025-08-31,0.0,0.0,1.1284060000000053,0.0,418.41312239300004,23,0.0,0.0,0.0,0.0,418.41312239300004
2025-09-01,0.0,0.0,2.0283659999999983,50.09375,500.18934601,23,0.0,0.0,0.0,0.0,500.18934601
2025-09-02,0.0,0.0,8.856437000000003,59.875,482.553156635,23,0.0,0.0,0.0,0.0,482.553156635
2025-09-03,0.0,0.0,2.6317931399999996,0.0,479.794899374,24,0.0,0.0,0.0,0.0,479.794899374
2025-09-04,0.0,0.0,0.6971215000000002,0.0,422.95550459,22,0.0,0.0,0.0,0.0,422.95550459
2025-09-05,0.0,0.0,1.3397094999999999,0.0,673.7426216,23,0.0,0.0,0.0,0.0,673.7426216
2025-09-06,0.0,0.0,3.5398034999999997,0.0,633.100790254,29,0.0,0.0,0.0,0.0,633.100790254
2025-09-07,0.0,0.0,1.62741333,35.75,268.813068258,33,0.0,0.0,0.0,0.0,268.813068258
2025-09-08,0.0,0.0,4.5541110000000025,82.875,473.602361294,25,0.0,0.0,0.0,0.0,473.602361294
2025-09-09,0.0,0.0,2.1567480000000003,54.125,413.03153465,23,0.0,0.0,0.0,0.0,413.03153465
2025-09-10,0.0,0.0,1.092778,0.0,305.48274416,23,0.0,0.0,0.0,0.0,305.48274416
2025-09-11,0.08529214762650253,0.0,5.765813999999999,68.40625,467.07964963,23,0.0,0.0,0.08529214762650253,0.0,427.24142320042296
2025-09-12,0.0,0.0,3.24792925,10.4375,523.08656736,24,0.0,0.0,0.0,0.0,523.08656736
2025-09-13,0.0,0.0,3.8112093000000025,0.0,490.749335012,28,0.0,0.0,0.0,0.0,490.749335012
2025-09-14,0.0,0.0,2.7339930000000052,0.0,705.44153335,27,0.0,0.0,0.0,0.0,705.44153335
2025-09-15,0.0,0.0,-0.7097294650000001,0.0,704.0071029,34,0.0,0.0,0.0,0.0,704.0071029
