date,HS,HR,GAP,ActEnergy,SimEnergy,N_pts,HS_ref,HR_ref,ΔHS,ΔHR,Lost_kWh
2025-08-15,0.0,0.0,0.13439679999999976,14.34375,137.54404447,20,,,,,137.54404447
2025-08-16,0.0,0.0,0.06057299999999999,0.0,214.06320575,21,,,,,214.06320575
2025-08-17,0.0,0.0,0.02917370000000008,77.78125,160.25182207,21,,,,,160.25182207
2025-08-18,0.0,0.0,0.2285560672,48.09375,160.80479169,21,,,,,160.80479169
2025-08-19,0.0,0.0,0.011624000000001189,135.546875,256.59441775,21,,,,,256.59441775
2025-08-20,0.0,0.0,0.27865023,0.0,259.77442197,21,,,,,259.77442197
2025-08-21,0.0,0.0,0.2404609999999998,139.421875,258.3365039,21,,,,,258.3365039
2025-08-22,0.0,0.0,1.0171088999999993,90.375,175.17729741,21,,,,,175.17729741
2025-08-23,0.0,0.0,1.3072364999999997,107.671875,218.49412492,22,,,,,218.49412492
2025-08-24,0.3227772898088905,0.33989868115412497,-0.2249975100000004,145.109375,268.68460008,22,0.0,0.0,0.3227772898088905,0.33989868115412497,181.959313052792
2025-08-25,0.0,0.0,0.18608270999999998,98.734375,205.81109316,22,0.0,0.0,0.0,0.0,205.81109316
2025-08-26,0.0,0.0,-0.14078296,23.234375,92.74331989,23,0.0,0.0,0.0,0.0,92.74331989
2025-08-27,0.0,0.0,0.9543960000000009,0.0,173.01370194999998,21,0.0,0.0,0.0,0.0,173.01370194999998
2025-08-28,0.0,0.0,0.94984,0.0,233.430831214,22,0.0,0.0,0.0,0.0,233.430831214
2025-08-29,0.0,0.0,-0.0028465999999998104,89.78125,135.67282055,21,0.0,0.0,0.0,0.0,135.67282055
2025-08-30,0.0,0.0,0.14604199999999956,0.0,191.29416059,22,0.0,0.0,0.0,0.0,191.29416059
2025-08-31,0.0,0.0,-0.22768342499999994,0.0,200.19849987999999,22,0.0,0.0,0.0,0.0,200.19849987999999
2025-09-01,0.0,0.0,0.15113724999999995,87.765625,234.985864548,22,0.0,0.0,0.0,0.0,234.985864548
2025-09-02,0.20731844220212922,0.2071535057622211,0.51282055,104.609375,229.02786410000002,22,0.0,0.0,0.20731844220212922,0.2071535057622211,181.54616409390704
2025-09-03,0.0,0.0,0.7282519500000002,0.0,228.66584689,22,0.0,0.0,0.0,0.0,228.66584689
