date,HS,HR,GAP,ActEnergy,SimEnergy,N_pts,HS_ref,HR_ref,ΔHS,ΔHR,Lost_kWh
2025-08-15,0.0,0.0,0.45805695,29.078125,156.9674468,20,,,,,156.9674468
2025-08-16,0.0,0.0,5.6099239999999995,0.0,285.206429644,21,,,,,285.206429644
2025-08-17,0.0,0.0,3.0973906,97.109375,202.78369462,21,,,,,202.78369462
2025-08-18,0.0,0.0,2.5985845999999997,50.15625,192.1789421,21,,,,,192.1789421
2025-08-19,0.0,0.0,3.967141999999999,152.546875,337.451950777,22,,,,,337.451950777
2025-08-20,0.0,0.0,1.2645279999999985,0.0,327.656661771,23,,,,,327.656661771
2025-08-21,0.0,0.0,0.3017312070000004,149.171875,305.028306731,24,,,,,305.028306731
2025-08-22,0.0,0.0,2.0662379999999994,95.734375,203.468008732,23,,,,,203.468008732
2025-08-23,0.198595439399141,0.3537797340788542,4.83825285,119.484375,268.22497097999997,22,,,,,214.95671501040502
2025-08-24,0.16638045425552905,0.5086504222963354,3.4002764999999995,156.1875,347.04507629,22,0.0,0.0,0.16638045425552905,0.5086504222963354,289.30355884972505
2025-08-25,0.0,0.0,0.13576013000000026,102.09375,243.23557199,24,0.0,0.0,0.0,0.0,243.23557199
2025-08-26,0.0,0.0,-0.21889789999999998,27.90625,96.19879096,21,0.0,0.0,0.0,0.0,96.19879096
2025-08-27,0.0,0.0,3.25687545,0.0,199.37099045,22,0.0,0.0,0.0,0.0,199.37099045
2025-08-28,0.0,0.0,4.446151350000001,0.0,294.710230087,24,0.0,0.0,0.0,0.0,294.710230087
2025-08-29,0.15493999166685624,0.0,2.2550942000000003,89.375,155.358188007,22,0.0,0.0,0.15493999166685624,0.0,131.28699165181754
2025-08-30,0.0,0.0,3.7679599999999995,0.0,236.77383722599998,23,0.0,0.0,0.0,0.0,236.77383722599998
2025-08-31,0.0,0.0,3.1930478,0.0,237.941545667,23,0.0,0.0,0.0,0.0,237.941545667
2025-09-01,0.24334604132775925,0.06452640263467599,3.4540558800000003,92.953125,293.88391721,22,0.0,0.0,0.24334604132775925,0.06452640263467599,222.36842934705155
2025-09-02,0.17154533361285618,0.2769023479281103,3.21184775,112.859375,277.81613179,22,0.0,0.0,0.17154533361285618,0.2769023479281103,230.15807077905123
2025-09-03,0.0,0.0,2.9287609999999997,0.0,279.30259736,23,0.0,0.0,0.0,0.0,279.30259736
