date,HS,HR,GAP,ActEnergy,SimEnergy,N_pts,HS_ref,HR_ref,ΔHS,ΔHR,Lost_kWh
2025-08-15,0.0,0.0,0.3741519265000003,12.34375,124.435122804,22,,,,,124.435122804
2025-08-16,0.0,0.0,2.5282859999999996,0.0,205.06626593000001,21,,,,,205.06626593000001
2025-08-17,0.0,0.0,1.5526647999999996,75.265625,145.90954650999998,21,,,,,145.90954650999998
2025-08-18,0.0,0.0,1.2993123999999998,41.4375,149.5537159,21,,,,,149.5537159
2025-08-19,0.0,0.0,2.8094910000000004,110.1875,249.3501181,24,,,,,249.3501181
2025-08-20,0.0,0.0,1.6217169,0.0,250.998209393,25,,,,,250.998209393
2025-08-21,0.0,0.0,1.11183785,114.125,243.955609425,29,,,,,243.955609425
2025-08-22,0.0,0.0,1.0430317000000011,79.0,158.93965594,21,,,,,158.93965594
2025-08-23,0.0,0.0,2.3175321,96.25,201.33269363600002,22,,,,,201.33269363600002
2025-08-24,0.21987301910702017,0.2462777531934263,3.084209499999999,116.90625,261.8628156,22,0.0,0.0,0.21987301910702017,0.2462777531934263,204.28624774216308
2025-08-25,0.0,0.0,0.932334,80.703125,189.54880646,21,0.0,0.0,0.0,0.0,189.54880646
2025-08-26,0.0,0.0,-0.7364110000000004,20.0625,79.71726509,21,0.0,0.0,0.0,0.0,79.71726509
2025-08-27,0.0,0.0,1.1215600000000006,0.0,155.47844138,21,0.0,0.0,0.0,0.0,155.47844138
2025-08-28,0.0,0.0,2.2834523,0.0,219.39797477,22,0.0,0.0,0.0,0.0,219.39797477
2025-08-29,0.0,0.0,-0.26349810000000007,76.71875,120.70072784,21,0.0,0.0,0.0,0.0,120.70072784
2025-08-30,0.0,0.0,1.0754656500000004,0.0,175.346177315,22,0.0,0.0,0.0,0.0,175.346177315
2025-08-31,0.0,0.0,1.5057698000000004,0.0,181.51380841,22,0.0,0.0,0.0,0.0,181.51380841
2025-09-01,0.0,0.0,2.0992102,70.84375,222.71272702000002,22,0.0,0.0,0.0,0.0,222.71272702000002
2025-09-02,0.191263234467972,0.24127008134191896,2.312060499999999,91.859375,210.43850125,22,0.0,0.0,0.191263234467972,0.24127008134191896,170.18935284433263
2025-09-03,0.0,0.0,1.9903260999999999,0.0,211.65050573,22,0.0,0.0,0.0,0.0,211.65050573
2025-09-04,0.0,0.0,1.2155391999999998,0.0,188.075028433,27,0.0,0.0,0.0,0.0,188.075028433
2025-09-05,0.0,0.0,2.666893,0.0,297.700441416,25,0.0,0.0,0.0,0.0,297.700441416
2025-09-06,0.0,0.0,2.0173779999999972,0.0,275.306693,23,0.0,0.0,0.0,0.0,275.306693
2025-09-07,0.21014422285289602,0.0,-0.44334015000000015,53.890625,116.99785252,22,0.0,0.0,0.21014422285289602,0.0,92.41142972672685
2025-09-08,0.32875280213108404,0.22855126465569445,2.5667405000000016,106.265625,206.44796994,23,0.0,0.0,0.32875280213108404,0.22855126465569445,138.5776213279512
2025-09-09,0.07329314570475663,0.0621733103408142,1.916143,85.703125,181.73034921,23,0.0,0.0,0.07329314570475663,0.0621733103408142,168.4107602463752
2025-09-10,0.0,0.0,0.19452969999999992,0.0,138.16240287,23,0.0,0.0,0.0,0.0,138.16240287
2025-09-11,0.3519793987569421,0.37485847711431386,1.966385999999999,101.65625,204.96247824,23,0.0,0.0,0.3519793987569421,0.37485847711431386,132.81990838135195
2025-09-12,0.0,0.0,1.5206184,15.171875,230.11943182000002,23,0.0,0.0,0.0,0.0,230.11943182000002
2025-09-13,0.0,0.0,0.9592710000000002,0.0,216.20031334,23,0.0,0.0,0.0,0.0,216.20031334
2025-09-14,0.0,0.0,2.8444779999999987,0.0,309.438841255,26,0.0,0.0,0.0,0.0,309.438841255
2025-09-15,0.0,0.0,1.2052125999999994,0.0,308.905674259,29,0.0,0.0,0.0,0.0,308.905674259
2025-09-16,0.0,0.0,0.04521149999999974,0.0,157.32951264,27,0.0,0.0,0.0,0.0,157.32951264
2025-09-17,0.0,0.0,1.301858000000001,0.0,243.550621715,25,0.0,0.0,0.0,0.0,243.550621715
2025-09-18,0.0,0.0,1.3059075500000006,0.0,310.893891116,24,0.0,0.0,0.0,0.0,310.893891116
2025-09-19,0.0,0.0,1.5885544999999999,0.0,299.3844894,30,0.0,0.0,0.0,0.0,299.3844894
2025-09-20,0.0,0.0,1.1355664499999998,0.0,234.37398670000002,24,0.0,0.0,0.0,0.0,234.37398670000002
2025-09-21,0.0,0.0,0.1649193000000002,0.0,135.44003108,23,0.0,0.0,0.0,0.0,135.44003108
2025-09-22,0.0,0.0,2.6499640000000007,0.0,251.64091066,23,0.0,0.0,0.0,0.0,251.64091066
2025-09-23,0.0,0.0,0.5720877,0.0,237.05081768,23,0.0,0.0,0.0,0.0,237.05081768
2025-09-24,0.0,0.0,0.5579068,0.0,174.30039811,23,0.0,0.0,0.0,0.0,174.30039811
2025-09-25,0.0,0.0,0.012117096850000002,0.0,157.256783025,24,0.0,0.0,0.0,0.0,157.256783025
2025-09-26,0.0,0.0,0.14349013,0.0,163.66699771,24,0.0,0.0,0.0,0.0,163.66699771
2025-09-27,0.0,0.0,1.5340190000000007,0.0,315.155263403,25,0.0,0.0,0.0,0.0,315.155263403
2025-09-28,0.0,0.0,0.8270892000000001,0.0,277.99933702,25,0.0,0.0,0.0,0.0,277.99933702
2025-09-29,0.0,0.0,0.9165507499999999,0.0,331.698937443,26,0.0,0.0,0.0,0.0,331.698937443
2025-09-30,0.0,0.0,0.34747769,0.0,213.39803659,33,0.0,0.0,0.0,0.0,213.39803659
2025-10-01,0.0,0.0,0.6961632999999994,0.0,220.603599776,26,0.0,0.0,0.0,0.0,220.603599776
2025-10-02,0.0,0.0,-0.0600075649999999,0.0,182.32738542,24,0.0,0.0,0.0,0.0,182.32738542
2025-10-03,0.0,0.0,-0.08126110000000009,0.0,185.48879607,25,0.0,0.0,0.0,0.0,185.48879607
2025-10-04,0.0,0.0,2.3124200000000013,0.0,359.30615214,26,0.0,0.0,0.0,0.0,359.30615214
2025-10-05,0.0,0.0,-0.35760599999999876,0.0,150.11928389,27,0.0,0.0,0.0,0.0,150.11928389
2025-10-06,0.0,0.0,0.10383135000000002,0.0,229.95285417,25,0.0,0.0,0.0,0.0,229.95285417
2025-10-07,0.0,0.0,1.5184397199999997,0.0,367.92233758,26,0.0,0.0,0.0,0.0,367.92233758
2025-10-08,0.0,0.0,0.9895480000000001,0.0,285.221114224,28,0.0,0.0,0.0,0.0,285.221114224
2025-10-09,0.0,0.0,1.0885227500000003,0.0,328.476201002,28,0.0,0.0,0.0,0.0,328.476201002
2025-10-10,0.0,0.0,0.29557851999999996,0.0,236.98956177,26,0.0,0.0,0.0,0.0,236.98956177
2025-10-11,0.0,0.0,1.2065750000000008,0.0,302.108521046,25,0.0,0.0,0.0,0.0,302.108521046
2025-10-12,0.0,0.0,-0.31876865,0.0,205.46059016,25,0.0,0.0,0.0,0.0,205.46059016
2025-10-13,0.0,0.0,2.0160174999999985,0.0,380.944799353,34,0.0,0.0,0.0,0.0,380.944799353
2025-10-14,0.0,0.0,1.1904700000000012,0.0,361.42535683,33,0.0,0.0,0.0,0.0,361.42535683
