timestamp,meter,campus,Meter_reading,Real_model_prediction,Simulated_model,Simulated_degraded,global_horizontal_irradiance
2025-01-01 01:00:00,solar.bun_LTSS_PV_LGC#realenergyintotheload#kwh,BUNDOORA,,-0.043585118,-0.0013508003,0.0,0.0
2025-01-01 02:00:00,solar.bun_LTSS_PV_LGC#realenergyintotheload#kwh,BUNDOORA,,0.0293778,-0.0013508003,0.0,0.0
2025-01-01 03:00:00,solar.bun_LTSS_PV_LGC#realenergyintotheload#kwh,BUNDOORA,,0.0293778,-0.0013508003,0.0,0.0
2025-01-01 04:00:00,solar.bun_LTSS_PV_LGC#realenergyintotheload#kwh,BUNDOORA,,0.013763739,-0.0013508003,0.0,0.0
2025-01-01 05:00:00,solar.bun_LTSS_PV_LGC#realenergyintotheload#kwh,BUNDOORA,,0.015251575,-0.0013508003,0.0,0.0
2025-01-01 06:00:00,solar.bun_LTSS_PV_LGC#realenergyintotheload#kwh,BUNDOORA,,0.26125628,-0.003856188,0.0,0.0
2025-01-01 07:00:00,solar.bun_LTSS_PV_LGC#realenergyintotheload#kwh,BUNDOORA,,0.58343244,19.679758,19.096697,48.0
2025-01-01 08:00:00,solar.bun_LTSS_PV_LGC#realenergyintotheload#kwh,BUNDOORA,,5.8246818,62.59834,60.743706,140.0
2025-01-01 09:00:00,solar.bun_LTSS_PV_LGC#realenergyintotheload#kwh,BUNDOORA,,11.232008,114.18172,110.7988,247.0
2025-01-01 10:00:00,solar.bun_LTSS_PV_LGC#realenergyintotheload#kwh,BUNDOORA,,13.935319,164.5292,159.65462,355.0
2025-01-01 11:00:00,solar.bun_LTSS_PV_LGC#realenergyintotheload#kwh,BUNDOORA,,20.64044,276.30106,268.11496,624.0
2025-01-01 12:00:00,solar.bun_LTSS_PV_LGC#realenergyintotheload#kwh,BUNDOORA,,24.91866,384.07166,372.69257,960.0
2025-01-01 13:00:00,solar.bun_LTSS_PV_LGC#realenergyintotheload#kwh,BUNDOORA,,27.428299,423.25055,410.7107,1072.0
2025-01-01 14:00:00,solar.bun_LTSS_PV_LGC#realenergyintotheload#kwh,BUNDOORA,,26.943487,425.42892,412.82452,1077.0
2025-01-01 15:00:00,solar.bun_LTSS_PV_LGC#realenergyintotheload#kwh,BUNDOORA,,27.057056,411.68692,399.48965,1019.0
2025-01-01 16:00:00,solar.bun_LTSS_PV_LGC#realenergyintotheload#kwh,BUNDOORA,,28.728575,378.95938,367.73175,901.0
