timestamp,meter,campus,Meter_reading,Real_model_prediction,Simulated_model,Simulated_degraded
2025-08-15 00:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.09034281,-0.009332939,0.0
2025-08-15 01:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.0360358,-0.013840775,0.0
2025-08-15 01:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.023242977,-0.061401054,0.0
2025-08-15 02:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.008888192,-0.029990548,0.0
2025-08-15 02:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.02237646,-0.062477935,0.0
2025-08-15 03:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.108550444,-0.031003606,0.0
2025-08-15 03:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.029983759,-0.04164437,0.0
2025-08-15 04:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.010351471,-0.0370624,0.0
2025-08-15 04:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.053751,-0.027486645,0.0
2025-08-15 05:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.16727602,0.048034657,0.04661151
2025-08-15 05:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.15937282,-0.025482856,0.0
2025-08-15 06:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.1737884,0.032408457,0.031448275
2025-08-15 06:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.14335698,-0.06400625,0.0
2025-08-15 07:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.02578336,-0.034828857,0.0
2025-08-15 07:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.12625876,-0.011928698,0.0
2025-08-15 08:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,2.1510494,0.7978493,0.774211
2025-08-15 08:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,1.8492858,2.772077,2.6899474
2025-08-15 09:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.441807,4.911145,4.7656403
2025-08-15 09:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,1.9278921,7.000777,6.793361
2025-08-15 10:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,2.77053,9.585168,9.301184
2025-08-15 10:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,4.2619286,15.93748,15.465292
2025-08-15 11:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,2.8033571,12.922745,12.539876
2025-08-15 11:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,5.703696,20.150156,19.553158
2025-08-15 12:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,7.1790066,22.505127,21.838356
2025-08-15 12:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.5625,8.166342,22.250824,21.591587
2025-08-15 13:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,1.59375,3.896828,14.660685,14.226325
2025-08-15 13:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,3.3125,2.6236603,10.650636,10.335084
2025-08-15 14:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,4.875,5.450582,8.050007,7.8115053
2025-08-15 14:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,1.0625,3.8880138,7.928759,7.6938496
2025-08-15 15:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.875,2.6770957,6.6831183,6.485114
2025-08-15 15:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.6875,2.829986,5.6205735,5.45405
2025-08-15 16:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.84375,1.5882695,4.3078485,4.1802177
2025-08-15 16:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,1.59375,0.9760013,1.2365632,1.199927
2025-08-15 17:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.625,0.20850152,1.6376549,1.5891353
2025-08-15 17:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.03125,0.1907699,0.27536315,0.26720482
2025-08-15 18:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.23727375,-0.0142926965,0.0
2025-08-15 18:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.03202171,-0.021414427,0.0
2025-08-15 19:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.05503929,-0.011774955,0.0
2025-08-15 19:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.03134468,0.0008501252,0.0008249381
2025-08-15 20:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.0070595425,-0.0007829078,0.0
2025-08-15 20:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.013032553,-0.0007829078,0.0
2025-08-15 21:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.019212078,-0.0012886042,0.0
2025-08-15 21:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.019212078,-0.0043147258,0.0
2025-08-15 22:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.039960895,0.0071876124,0.0069746613
2025-08-15 22:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.036716413,-0.003123437,0.0
2025-08-15 23:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.006631898,0.0051256055,0.004973747
2025-08-15 23:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.017313894,0.001292344,0.0012540551
2025-08-16 00:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.014069405,0.001292344,0.0012540551
2025-08-16 00:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.005497435,0.0051256055,0.004973747
2025-08-16 01:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.08330646,0.0066956487,0.006497273
2025-08-16 01:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.0041877693,0.007152373,0.006940466
2025-08-16 02:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.010782705,0.0062451875,0.0060601584
2025-08-16 02:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.031641696,0.0024407082,0.0023683961
2025-08-16 03:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.056914136,0.008471229,0.008220248
2025-08-16 03:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.07279193,0.010052512,0.009754682
2025-08-16 04:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.06015863,0.010052512,0.009754682
2025-08-16 04:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.004665143,0.0033670194,0.003267263
2025-08-16 05:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.024670895,0.007152373,0.006940466
2025-08-16 05:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.09915121,0.0072591435,0.007044073
2025-08-16 06:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.12821761,0.0058332365,0.0056604124
2025-08-16 06:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.18155456,0.007915231,0.007680723
2025-08-16 07:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.22052163,0.0074095316,0.007190006
2025-08-16 07:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.21157247,0.1394768,0.13534446
2025-08-16 08:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.21704961,1.6683886,1.6189585
2025-08-16 08:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.14488864,5.133982,4.981875
2025-08-16 09:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.687447,8.759727,8.500197
2025-08-16 09:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,4.3224535,12.847633,12.46699
2025-08-16 10:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,4.2263455,16.108278,15.63103
2025-08-16 10:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,8.075904,23.858988,23.152105
2025-08-16 11:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,3.7317047,25.584688,24.826677
2025-08-16 11:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,4.162682,27.286463,26.478033
2025-08-16 12:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,6.2940664,24.60411,23.875153
2025-08-16 12:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,8.089858,26.331343,25.55121
2025-08-16 13:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,4.3979244,27.995214,27.165787
2025-08-16 13:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,4.3001413,24.133629,23.41861
2025-08-16 14:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,1.4812348,24.240612,23.522423
2025-08-16 14:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,8.275334,20.003227,19.410582
2025-08-16 15:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,8.47599,16.852764,16.353458
2025-08-16 15:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,4.773922,13.697744,13.291914
2025-08-16 16:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,5.001925,9.599202,9.314802
2025-08-16 16:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.8749589,5.9210186,5.7455935
2025-08-16 17:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.2690126,3.2627983,3.1661298
2025-08-16 17:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.5928139,1.0070944,0.9772567
2025-08-16 18:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.20923725,0.016616924,0.016124606
2025-08-16 18:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.105966724,6.226463e-05,6.0419887e-05
2025-08-16 19:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.10017396,0.005442379,0.005281135
2025-08-16 19:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.055646807,0.0046638995,0.0045257197
2025-08-16 20:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.14235628,0.0062451875,0.0060601584
2025-08-16 20:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.14235628,0.0062451875,0.0060601584
2025-08-16 21:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.038702533,0.0062451875,0.0060601584
2025-08-16 21:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.049412828,0.0062451875,0.0060601584
2025-08-16 22:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.06529062,0.0062451875,0.0060601584
2025-08-16 22:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.075891264,0.008355486,0.008107934
2025-08-16 23:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.049999375,0.008355486,0.008107934
2025-08-16 23:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.062046126,0.0073863044,0.007167467
2025-08-17 00:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.062046126,0.0073863044,0.007167467
2025-08-17 00:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.077285156,0.0073863044,0.007167467
2025-08-17 01:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,1.451269,0.0073863044,0.007167467
2025-08-17 01:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.051335838,0.0073863044,0.007167467
2025-08-17 02:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,0.1909306,0.0073863044,0.007167467
2025-08-17 02:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.029073123,0.0073863044,0.007167467
2025-08-17 03:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.029073123,0.0073863044,0.007167467
2025-08-17 03:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.11893735,0.0073863044,0.007167467
2025-08-17 04:00:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.08739821,0.011193632,0.010861993
2025-08-17 04:30:00,solar.bun_cs1#realenergyintotheload#kwh,BUNDOORA,0.0,-0.03599764,0.0059939437,0.005816358
