timestamp,meter,campus,Meter_reading,Real_model_prediction,Simulated_model,Simulated_degraded,global_horizontal_irradiance
2025-01-01 01:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,0.0,0.14880107,0.0026638606,0.002584937,0.0
2025-01-01 02:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,0.0,0.30934957,0.002157797,0.002093867,0.0
2025-01-01 03:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,0.0,0.28137735,0.002157797,0.002093867,0.0
2025-01-01 04:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,0.0,0.22147319,0.0020333005,0.0019730588,0.0
2025-01-01 05:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,0.0,1.0605328,0.002157797,0.002093867,0.0
2025-01-01 06:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,0.0,1.5501676,0.0019202309,0.0018633392,0.0
2025-01-01 07:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,1.75,10.854975,1.2342615,1.1976935,48.0
2025-01-01 08:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,11.125,28.12789,4.146536,4.0236845,140.0
2025-01-01 09:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,31.25,45.561104,7.369886,7.1515346,247.0
2025-01-01 10:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,47.0,75.3551,10.780605,10.461203,355.0
2025-01-01 11:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,84.875,84.89362,17.950697,17.418863,624.0
2025-01-01 12:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,132.875,148.6006,25.156038,24.410728,960.0
2025-01-01 13:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,172.25,161.67085,26.718544,25.92694,1072.0
2025-01-01 14:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,174.75,168.4725,26.710897,25.91952,1077.0
2025-01-01 15:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,170.75,172.07558,26.720438,25.928778,1019.0
2025-01-01 16:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,157.125,150.27342,24.823862,24.088392,901.0
2025-01-01 17:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,132.0,134.54207,20.71907,20.105217,736.0
2025-01-01 18:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,83.625,106.762505,14.973276,14.529655,514.0
2025-01-01 19:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,27.625,54.60465,3.4284291,3.3268533,119.0
2025-01-01 20:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,12.5,59.444885,2.0632975,2.0021672,81.0
2025-01-01 21:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,2.0,37.28871,0.0028125343,0.0027292059,1.0
2025-01-01 22:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,0.0,4.7127457,0.0019023533,0.0018459912,0.0
2025-01-01 23:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,0.0,0.65978014,-0.0005410495,0.0,0.0
2025-01-02 00:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,0.0,8.227218,-0.00054241036,0.0,0.0
2025-01-02 01:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,0.0,0.5507816,-0.0011075556,0.0,0.0
2025-01-02 02:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,0.0,0.37900686,0.0014504425,0.0014074695,0.0
2025-01-02 03:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,0.0,-0.3265771,-0.00019521182,0.0,0.0
2025-01-02 04:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,0.0,1.9090899,0.0007327618,0.0007110519,0.0
2025-01-02 05:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,0.0,3.7292957,0.0008365903,0.0008118042,0.0
2025-01-02 06:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,0.0,6.5824347,0.0008614729,0.0008359496,0.0
2025-01-02 07:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,4.375,15.589301,2.077337,2.0157907,76.0
2025-01-02 08:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,25.125,49.538445,8.28725,8.041719,278.0
2025-01-02 09:00:00,solar.bun_dw#realenergyintotheload#kwh,BUNDOORA,64.75,71.61653,14.320568,13.896285,483.0
