timestamp,meter,campus,Meter_reading,Real_model_prediction,Simulated_model,Simulated_degraded,global_horizontal_irradiance
2025-01-01 01:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,-28.777655,1.8529532,1.7980548,0.0
2025-01-01 02:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,-15.501632,3.9176874,3.8016162,0.0
2025-01-01 03:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,-14.965608,2.6583009,2.5795422,0.0
2025-01-01 04:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,301.4214,4.285293,4.1583304,0.0
2025-01-01 05:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,437.63992,-4.5066724,0.0,0.0
2025-01-01 06:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,991.6577,36.151833,35.080746,0.0
2025-01-01 07:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,562.5243,96.02402,93.17906,48.0
2025-01-01 08:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,537.5832,138.88684,134.77197,140.0
2025-01-01 09:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,516.0377,245.65129,238.37326,247.0
2025-01-01 10:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,345.07068,881.9641,855.83374,355.0
2025-01-01 11:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,908.72003,870.7226,844.92523,624.0
2025-01-01 12:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,1221.2372,713.2425,692.1109,960.0
2025-01-01 13:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,1012.96747,757.03784,734.6087,1072.0
2025-01-01 14:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,1065.0708,536.6911,520.7903,1077.0
2025-01-01 15:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,1110.7507,1185.8839,1150.7491,1019.0
2025-01-01 16:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,969.94696,1436.5068,1393.9468,901.0
2025-01-01 17:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,905.16644,955.05414,926.75824,736.0
2025-01-01 18:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,613.6864,462.8025,449.09082,514.0
2025-01-01 19:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,257.01706,207.819,201.66185,119.0
2025-01-01 20:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,315.9845,147.01385,142.6582,81.0
2025-01-01 21:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,421.62265,46.08778,44.722313,1.0
2025-01-01 22:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,127.94542,-9.646135,0.0,0.0
2025-01-01 23:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,172.468,-1.8381557,0.0,0.0
2025-01-02 00:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,57.93196,-1.9035196,0.0,0.0
2025-01-02 01:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,37.166397,2.766547,2.684581,0.0
2025-01-02 02:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,-2.1587794,11.13882,10.8088045,0.0
2025-01-02 03:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,5.776477,27.779879,26.956831,0.0
2025-01-02 04:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,32.31986,-4.8309298,0.0,0.0
2025-01-02 05:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,98.80753,10.997117,10.6713,0.0
2025-01-02 06:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,509.47018,125.888115,122.15836,0.0
2025-01-02 07:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,412.2436,105.89365,102.75628,76.0
2025-01-02 08:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,603.12506,614.99207,596.77136,278.0
2025-01-02 09:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,597.191,780.74817,757.6166,483.0
2025-01-02 10:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,1024.3186,1138.8497,1105.1084,625.0
2025-01-02 11:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,1092.2125,1240.311,1203.5637,879.0
2025-01-02 12:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,1062.0879,1215.4523,1179.4414,1005.0
2025-01-02 13:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,1054.2489,1357.8934,1317.6625,1074.0
2025-01-02 14:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,1054.2489,1270.33,1232.6932,1082.0
2025-01-02 15:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,1054.2489,1339.4137,1299.7302,1028.0
2025-01-02 16:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,1054.2489,1504.5146,1459.9397,917.0
2025-01-02 17:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,968.20416,1932.1538,1874.9089,755.0
2025-01-02 18:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,648.5993,1054.6528,1023.4061,558.0
2025-01-02 19:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,383.51956,1037.7997,1007.05225,342.0
2025-01-02 20:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,476.12396,234.46109,227.51459,135.0
2025-01-02 21:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,500.39532,265.81793,257.9424,2.0
2025-01-02 22:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,87.63874,17.527672,17.008371,0.0
2025-01-02 23:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,89.87747,13.607663,13.204502,0.0
2025-01-03 00:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,19.285866,11.294718,10.960084,0.0
2025-01-03 01:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,-14.196495,23.85409,23.147352,0.0
2025-01-03 02:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,-1.2813464,23.154911,22.46889,0.0
2025-01-03 03:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,-7.6232915,18.67277,18.119541,0.0
2025-01-03 04:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,-6.106658,21.867224,21.219353,0.0
2025-01-03 05:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,297.33054,80.478195,78.09383,0.0
2025-01-03 06:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,693.2381,78.909836,76.57194,0.0
2025-01-03 07:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,629.0565,299.76108,290.8799,85.0
2025-01-03 08:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,575.6667,743.9374,721.89636,280.0
2025-01-03 09:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,549.0392,715.3879,694.19275,493.0
2025-01-03 10:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,841.62305,1173.3622,1138.5984,695.0
2025-01-03 11:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,926.2123,1359.2646,1318.993,868.0
2025-01-03 12:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,926.2123,1115.9235,1082.8615,990.0
2025-01-03 13:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,926.532,1532.9634,1487.5455,1058.0
2025-01-03 14:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,949.1378,1142.3616,1108.5162,1065.0
2025-01-03 15:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,945.2483,1925.4463,1868.4001,1011.0
2025-01-03 16:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,941.0327,1851.2098,1796.3632,899.0
2025-01-03 17:00:00,solar.bun_hv_incoming#realenergyintotheload#kwh,BUNDOORA,,876.7117,1057.9069,1026.5637,738.0
