meter,meter_short,deg_pct_per_year,median_PI,n_months,valid_coverage_pct,calibration_a,calibration_b,soiling_events,sudden_events
solar.bun_bg#realenergyintotheload#kwh,bun_bg,1.5579,0.8401,66,48.73,0.000815,2.131951,10,12
solar.bun_carm1#realenergyintotheload#kwh,bun_carm1,-7.9006,0.8701,65,48.23,0.00088,2.252639,8,14
solar.bun_carm2#realenergyintotheload#kwh,bun_carm2,6.8177,0.8851,65,50.96,0.000807,3.245126,7,12
solar.bun_cs1#realenergyintotheload#kwh,bun_cs1,-34.0822,0.8437,66,46.32,0.000801,0.389292,6,13
solar.bun_dmw#realenergyintotheload#kwh,bun_dmw,-0.8211,0.8945,60,41.66,0.000584,12.273734,6,4
solar.bun_dw#realenergyintotheload#kwh,bun_dw,3.0067,0.8234,63,41.76,0.004881,6.842956,4,3
solar.bun_hs1#realenergyintotheload#kwh,bun_hs1,-0.0131,0.8237,62,43.93,0.000764,3.562805,5,11
solar.bun_hs2#realenergyintotheload#kwh,bun_hs2,4.7693,0.806,66,46.08,0.000853,1.7116,7,12
solar.bun_hs3#realenergyintotheload#kwh,bun_hs3,-4.149,0.8301,67,46.44,0.000842,1.558156,8,13
solar.bun_hsc#realenergyintotheload#kwh,bun_hsc,8.4541,0.7834,63,47.17,0.000798,0.895885,6,7
solar.bun_hu3#realenergyintotheload#kwh,bun_hu3,-8.9037,0.932,65,45.25,0.000537,6.889802,7,9
solar.bun_library#realenergyintotheload#kwh,bun_library,1.8505,0.8578,59,36.08,0.000671,22.002606,4,4
solar.bun_lims1#realenergyintotheload#kwh,bun_lims1,-4.9364,0.8736,65,47.48,0.000827,1.313916,8,15
solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh,bun_ltss_pv_lgcmeter,-59.3373,0.8833,68,71.73,0.000538,17.010217,15,49
solar.bun_lwso#realenergyintotheload#kwh,bun_lwso,5.6262,0.8506,62,42.95,0.00079,0.201245,6,6
solar.bun_mc#realenergyintotheload#kwh,bun_mc,8.7051,0.7865,64,46.69,0.000727,1.756949,3,6
solar.bun_pe#realenergyintotheload#kwh,bun_pe,-6.8357,0.8471,63,44.13,0.000778,2.573112,6,13
solar.bun_ps2#realenergyintotheload#kwh,bun_ps2,-0.9217,0.7965,64,45.39,0.000762,1.182166,6,15
solar.bun_pw#realenergyintotheload#kwh,bun_pw,-5.5604,0.7687,64,44.49,0.000755,2.408707,7,12
solar.bun_rd1#realenergyintotheload#kwh,bun_rd1,-38.5252,0.7949,46,28.47,0.000574,1.589284,7,15
solar.bun_rd2#realenergyintotheload#kwh,bun_rd2,-31.1121,0.817,48,28.17,0.000598,2.290168,8,16
solar.bun_rlr#realenergyintotheload#kwh,bun_rlr,-3.568,0.855,64,43.09,0.0008,1.488041,6,11
solar.bun_sw#realenergyintotheload#kwh,bun_sw,1.6697,0.8365,64,46.3,0.000781,1.770962,5,12
solar.bun_tlc#realenergyintotheload#kwh,bun_tlc,-14.3778,0.8243,63,43.19,0.000849,0.873971,7,14
solar.bun_union#realenergyintotheload#kwh,bun_union,11.3684,0.8069,65,47.29,0.000525,0.718384,5,7
solar.bun_wlt#realenergyintotheload#kwh,bun_wlt,0.8942,0.8929,65,46.4,0.000752,2.829937,7,11
