meter,start_ts,end_ts,length_hours
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-01 02:00:00,2020-01-01 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-02 02:00:00,2020-01-02 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-03 02:00:00,2020-01-03 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-04 02:00:00,2020-01-04 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-05 02:00:00,2020-01-05 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-06 02:00:00,2020-01-06 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-08 02:00:00,2020-01-08 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-09 02:00:00,2020-01-09 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-10 02:00:00,2020-01-10 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-11 02:00:00,2020-01-11 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-12 02:00:00,2020-01-12 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-13 02:00:00,2020-01-13 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-14 02:00:00,2020-01-14 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-15 02:00:00,2020-01-15 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-16 02:00:00,2020-01-16 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-17 02:00:00,2020-01-17 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-18 02:00:00,2020-01-18 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-19 02:00:00,2020-01-19 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-20 02:00:00,2020-01-20 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-21 02:00:00,2020-01-21 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-22 02:00:00,2020-01-22 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-23 02:00:00,2020-01-23 06:00:00,5
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-24 02:00:00,2020-01-24 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-25 02:00:00,2020-01-25 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-26 02:00:00,2020-01-26 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-27 02:00:00,2020-01-27 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-28 02:00:00,2020-01-28 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-29 02:00:00,2020-01-29 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-30 02:00:00,2020-01-30 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-01-31 02:00:00,2020-01-31 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-01 02:00:00,2020-02-01 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-02 02:00:00,2020-02-02 06:00:00,5
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-03 02:00:00,2020-02-03 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-04 02:00:00,2020-02-04 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-05 02:00:00,2020-02-05 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-06 02:00:00,2020-02-06 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-07 02:00:00,2020-02-07 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-08 02:00:00,2020-02-08 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-09 02:00:00,2020-02-09 06:00:00,5
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-10 02:00:00,2020-02-10 06:00:00,5
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-11 02:00:00,2020-02-11 06:00:00,5
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-12 02:00:00,2020-02-12 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-13 02:00:00,2020-02-13 05:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-14 02:00:00,2020-02-14 06:00:00,5
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-15 02:00:00,2020-02-15 06:00:00,5
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-16 02:00:00,2020-02-16 06:00:00,5
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-17 02:00:00,2020-02-17 06:00:00,5
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-18 02:00:00,2020-02-18 06:00:00,5
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-19 02:00:00,2020-02-19 06:00:00,5
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-20 03:00:00,2020-02-20 05:00:00,3
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-21 03:00:00,2020-02-21 06:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-22 03:00:00,2020-02-22 06:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-23 03:00:00,2020-02-23 06:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-24 03:00:00,2020-02-24 06:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-25 03:00:00,2020-02-25 06:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-26 03:00:00,2020-02-26 06:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-27 03:00:00,2020-02-27 06:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-28 03:00:00,2020-02-28 06:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-02-29 03:00:00,2020-02-29 06:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-03-01 03:00:00,2020-03-01 06:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-03-02 03:00:00,2020-03-02 06:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-03-03 03:00:00,2020-03-03 06:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-03-04 03:00:00,2020-03-04 06:00:00,4
solar.albury-wodonga_admin#realenergyintotheload#kwh,2020-03-05 03:00:00,2020-03-05 07:00:00,5
