start_date,end_date,dry_days,pi_slope_per_day,pi_start,pi_end,pi_drop,pi_recovery_after_rain,is_soiling,meter
2020-02-08,2020-03-03,25,-0.0,0.0019,0.0019,0.0,0.0019,False,solar.bun_bg#realenergyintotheload#kwh
2020-03-06,2020-04-28,53,-2.6e-05,0.0019,0.0009,0.001,0.0009,False,solar.bun_bg#realenergyintotheload#kwh
2020-04-30,2020-05-08,9,0.0,0.0009,0.0009,0.0,0.0009,False,solar.bun_bg#realenergyintotheload#kwh
2020-05-10,2020-08-06,46,-0.106731,0.0009,0.8032,-0.8023,0.6424,True,solar.bun_bg#realenergyintotheload#kwh
2020-08-08,2020-10-16,61,-0.000448,0.6424,1.4209,-0.7785,0.9429,False,solar.bun_bg#realenergyintotheload#kwh
2020-10-18,2021-02-04,21,0.021865,1.1064,1.2676,-0.1612,0.7083,False,solar.bun_bg#realenergyintotheload#kwh
2021-02-06,2021-02-22,11,0.033793,0.6983,1.1271,-0.4288,0.5811,False,solar.bun_bg#realenergyintotheload#kwh
2021-03-24,2021-06-07,37,0.006456,0.6265,0.4706,0.1559,0.6432,False,solar.bun_bg#realenergyintotheload#kwh
2021-06-11,2021-07-13,28,-0.044598,0.6432,0.0,0.6432,0.0,True,solar.bun_bg#realenergyintotheload#kwh
2021-07-15,2021-07-19,5,-0.0,0.0,0.0,0.0,0.0,False,solar.bun_bg#realenergyintotheload#kwh
2021-07-21,2021-09-28,65,0.011106,0.0,1.3628,-1.3628,0.5402,False,solar.bun_bg#realenergyintotheload#kwh
2021-10-01,2021-10-29,19,-0.01995,1.5521,0.8399,0.7122,0.6127,True,solar.bun_bg#realenergyintotheload#kwh
2021-11-13,2022-01-25,13,-0.009541,0.6127,1.233,-0.6202,0.9805,True,solar.bun_bg#realenergyintotheload#kwh
2022-01-30,2022-02-14,15,0.003988,1.0464,1.14,-0.0936,0.4281,False,solar.bun_bg#realenergyintotheload#kwh
2022-03-16,2022-04-17,19,0.042934,0.4281,1.1838,-0.7557,0.2287,False,solar.bun_bg#realenergyintotheload#kwh
2022-04-20,2022-05-26,16,-0.055557,1.0373,0.4859,0.5513,0.7922,True,solar.bun_bg#realenergyintotheload#kwh
2022-06-06,2022-07-16,36,0.003107,0.9848,0.3722,0.6126,0.8042,False,solar.bun_bg#realenergyintotheload#kwh
2022-07-18,2022-08-28,29,-0.002176,0.8019,0.9884,-0.1865,0.4085,True,solar.bun_bg#realenergyintotheload#kwh
2022-08-30,2022-09-07,9,0.065427,0.4085,1.2655,-0.8569,0.5867,False,solar.bun_bg#realenergyintotheload#kwh
2022-09-09,2022-09-26,18,0.020571,0.769,0.5988,0.1702,0.5843,False,solar.bun_bg#realenergyintotheload#kwh
2022-10-08,2022-10-18,9,0.035694,0.6937,1.2027,-0.509,0.6922,False,solar.bun_bg#realenergyintotheload#kwh
2022-10-25,2023-06-06,63,0.001354,0.9753,0.3948,0.5804,0.7044,False,solar.bun_bg#realenergyintotheload#kwh
2023-06-11,2023-06-22,9,0.06957,1.106,1.0396,0.0664,0.4702,False,solar.bun_bg#realenergyintotheload#kwh
2023-06-24,2023-08-21,41,0.012345,1.1421,1.4093,-0.2672,1.0,False,solar.bun_bg#realenergyintotheload#kwh
2023-08-23,2023-09-30,29,0.016211,1.0,1.2051,-0.2051,1.0775,False,solar.bun_bg#realenergyintotheload#kwh
2023-10-08,2023-12-13,10,-0.10757,1.0775,0.5231,0.5544,0.4192,True,solar.bun_bg#realenergyintotheload#kwh
2024-01-24,2024-11-16,99,0.000694,1.1834,1.3237,-0.1403,0.9769,False,solar.bun_bg#realenergyintotheload#kwh
2024-11-18,2024-11-23,6,-0.041412,0.9769,0.794,0.1829,0.2531,True,solar.bun_bg#realenergyintotheload#kwh
2024-12-02,2025-01-05,35,0.001627,1.2533,0.7071,0.5463,1.0586,False,solar.bun_bg#realenergyintotheload#kwh
2025-01-07,2025-03-15,63,-0.002097,1.3357,0.8045,0.5313,1.0285,True,solar.bun_bg#realenergyintotheload#kwh
2025-03-21,2025-06-07,79,-0.00108,0.4953,0.7309,-0.2356,0.4398,False,solar.bun_bg#realenergyintotheload#kwh
2025-06-09,2025-07-21,31,-0.004197,0.4398,1.0459,-0.6061,0.5223,True,solar.bun_bg#realenergyintotheload#kwh
2025-07-27,2025-08-12,13,0.041295,0.5223,0.7306,-0.2083,,False,solar.bun_bg#realenergyintotheload#kwh
2020-04-17,2020-04-28,12,0.0,0.0001,0.0001,0.0,0.0001,False,solar.bun_carm1#realenergyintotheload#kwh
2020-04-30,2020-05-08,9,0.0,0.0001,0.0001,0.0,0.0001,False,solar.bun_carm1#realenergyintotheload#kwh
2020-05-10,2020-08-06,61,-0.013741,0.0001,0.8735,-0.8734,0.6456,True,solar.bun_carm1#realenergyintotheload#kwh
2020-08-08,2020-10-16,62,-0.000835,0.6456,1.2908,-0.6451,0.7946,False,solar.bun_carm1#realenergyintotheload#kwh
2020-10-18,2021-02-04,24,0.019754,1.1549,1.3051,-0.1501,0.7888,False,solar.bun_carm1#realenergyintotheload#kwh
2021-02-06,2021-02-22,12,0.013166,0.7575,1.2947,-0.5371,0.6216,False,solar.bun_carm1#realenergyintotheload#kwh
2021-03-24,2021-06-07,37,0.006381,0.7441,0.6701,0.074,0.7255,False,solar.bun_carm1#realenergyintotheload#kwh
2021-06-11,2021-07-19,32,0.000635,0.7255,0.6806,0.0449,0.7635,False,solar.bun_carm1#realenergyintotheload#kwh
2021-07-22,2021-09-28,62,0.005022,0.7635,1.4215,-0.658,0.5783,False,solar.bun_carm1#realenergyintotheload#kwh
2021-10-01,2021-10-28,17,-0.024114,1.754,0.9606,0.7933,0.689,True,solar.bun_carm1#realenergyintotheload#kwh
2021-11-13,2022-01-25,15,-0.022394,0.7089,1.3087,-0.5998,0.8964,True,solar.bun_carm1#realenergyintotheload#kwh
2022-01-30,2022-02-19,16,0.005791,1.0742,1.1967,-0.1225,0.4476,False,solar.bun_carm1#realenergyintotheload#kwh
2022-03-16,2022-04-17,18,0.035509,0.4476,1.129,-0.6814,0.2505,False,solar.bun_carm1#realenergyintotheload#kwh
2022-04-20,2022-05-26,16,-0.038846,1.0234,0.4933,0.5302,0.7787,True,solar.bun_carm1#realenergyintotheload#kwh
2022-06-06,2022-07-16,37,0.002124,0.9811,0.3586,0.6225,0.7844,False,solar.bun_carm1#realenergyintotheload#kwh
2022-07-18,2022-08-28,29,0.003148,0.765,1.1142,-0.3492,0.4756,False,solar.bun_carm1#realenergyintotheload#kwh
2022-08-30,2022-09-07,9,0.058693,0.4756,1.2897,-0.8141,0.579,False,solar.bun_carm1#realenergyintotheload#kwh
2022-09-09,2022-09-26,18,0.021051,0.8442,0.6138,0.2305,0.5876,False,solar.bun_carm1#realenergyintotheload#kwh
2022-10-08,2022-10-18,9,0.030906,0.8325,1.0835,-0.251,0.7022,False,solar.bun_carm1#realenergyintotheload#kwh
2022-10-25,2023-06-06,54,0.000425,0.8558,0.3952,0.4606,0.7136,False,solar.bun_carm1#realenergyintotheload#kwh
2023-06-11,2023-06-22,9,0.053246,1.0832,0.9951,0.0881,0.5107,False,solar.bun_carm1#realenergyintotheload#kwh
2023-06-24,2023-08-21,41,0.010913,1.2546,1.2221,0.0324,1.1423,False,solar.bun_carm1#realenergyintotheload#kwh
2023-08-23,2023-09-30,29,0.017124,1.1423,1.1516,-0.0093,1.0604,False,solar.bun_carm1#realenergyintotheload#kwh
2023-10-08,2023-12-13,13,-0.065065,1.0604,0.5737,0.4867,0.4241,True,solar.bun_carm1#realenergyintotheload#kwh
2024-01-24,2024-10-17,118,-0.000727,1.399,0.7947,0.6043,0.6902,False,solar.bun_carm1#realenergyintotheload#kwh
2024-10-19,2024-11-16,29,0.005023,1.0398,1.3404,-0.3006,0.9713,False,solar.bun_carm1#realenergyintotheload#kwh
2024-11-18,2024-11-23,6,-0.016721,0.9713,0.8707,0.1006,0.2371,True,solar.bun_carm1#realenergyintotheload#kwh
2024-12-01,2025-01-05,36,0.000229,0.9726,0.6673,0.3053,1.3203,False,solar.bun_carm1#realenergyintotheload#kwh
2025-01-07,2025-03-15,68,-0.00244,1.3584,0.798,0.5604,0.9836,True,solar.bun_carm1#realenergyintotheload#kwh
2025-03-21,2025-06-07,78,-0.0003,0.4971,0.6836,-0.1865,0.5007,False,solar.bun_carm1#realenergyintotheload#kwh
2025-06-09,2025-07-21,31,-0.003013,0.5007,0.941,-0.4403,0.6038,True,solar.bun_carm1#realenergyintotheload#kwh
2025-07-27,2025-08-12,13,0.03171,0.6038,0.7429,-0.1391,,False,solar.bun_carm1#realenergyintotheload#kwh
2020-04-22,2020-04-28,7,0.0,0.0002,0.0002,0.0,0.0002,False,solar.bun_carm2#realenergyintotheload#kwh
2020-04-30,2020-05-08,9,0.0,0.0002,0.0002,0.0,0.0002,False,solar.bun_carm2#realenergyintotheload#kwh
2020-05-10,2020-08-06,59,-0.001795,0.0002,0.9445,-0.9443,0.6677,False,solar.bun_carm2#realenergyintotheload#kwh
2020-08-08,2020-10-16,62,-0.000773,0.6677,1.4008,-0.7331,0.8436,False,solar.bun_carm2#realenergyintotheload#kwh
2020-10-18,2021-02-04,22,0.025285,1.2841,1.4205,-0.1364,0.8283,False,solar.bun_carm2#realenergyintotheload#kwh
2021-02-06,2021-02-22,14,0.018712,0.7799,1.3766,-0.5967,0.6928,False,solar.bun_carm2#realenergyintotheload#kwh
2021-03-24,2021-06-07,36,-0.024069,0.7584,0.1495,0.6088,0.1643,True,solar.bun_carm2#realenergyintotheload#kwh
2021-06-11,2021-09-28,93,0.015055,0.1643,1.5171,-1.3528,0.5899,False,solar.bun_carm2#realenergyintotheload#kwh
