rain_date,season,dry_days_before,clear_days_before,yield_start_of_dry,yield_before_rain,yield_after_rain,yield_recovery,yield_recovery_pct,ghi_matched,ghi_matched_recovery_pct,sn_recovery_pct,ghi_before_kwh,ghi_after_kwh,ghi_ratio,soiling_loss_pct,soiling_rate_per_day,rain_mm,meter,meter_short
2020-03-04,Autumn,7,7,0.0065,0.0071,0.007,-0.0001,-2.05,True,-2.05,-0.0,5.53,5.67,1.025,-10.49,0.000186,6.18,solar.bun_bg#realenergyintotheload#kwh,bun_bg
2020-03-29,Autumn,15,15,0.0065,0.178,0.0046,-0.1734,-97.4,True,-97.4,-0.39,5.26,4.34,0.825,-2633.32,0.054172,1.33,solar.bun_bg#realenergyintotheload#kwh,bun_bg
2020-10-23,Spring,5,5,38.0547,41.7429,46.6728,4.9299,11.81,True,11.81,10.75,6.62,5.51,0.831,-9.69,2.5203,2.75,solar.bun_bg#realenergyintotheload#kwh,bun_bg
2020-11-11,Spring,6,6,35.0474,49.4665,35.8552,-13.6113,-27.52,True,-27.52,-29.69,7.8,6.53,0.838,-41.14,4.310386,1.38,solar.bun_bg#realenergyintotheload#kwh,bun_bg
2020-11-22,Spring,9,9,39.3301,47.2465,40.6946,-6.5519,-13.87,True,-13.87,-14.29,6.93,7.62,1.1,-20.13,1.173215,0.97,solar.bun_bg#realenergyintotheload#kwh,bun_bg
2021-01-01,Summer,7,7,34.3664,43.3281,29.6913,-13.6368,-31.47,True,-31.47,-30.98,8.14,6.44,0.792,-26.08,-0.24827,2.48,solar.bun_bg#realenergyintotheload#kwh,bun_bg
2021-01-26,Summer,10,10,37.9161,46.1584,42.5125,-3.6459,-7.9,True,-7.9,-8.28,7.0,7.89,1.126,-21.74,1.34991,7.05,solar.bun_bg#realenergyintotheload#kwh,bun_bg
2021-02-12,Summer,6,6,32.6675,47.769,34.306,-13.463,-28.18,True,-28.18,-30.59,7.6,7.14,0.939,-46.23,2.460469,2.69,solar.bun_bg#realenergyintotheload#kwh,bun_bg
2021-03-21,Autumn,7,7,38.7404,49.0115,44.0954,-4.9161,-10.03,True,-10.03,-11.07,4.57,4.25,0.931,-26.51,2.570058,5.83,solar.bun_bg#realenergyintotheload#kwh,bun_bg
2021-04-20,Autumn,8,5,45.6161,33.6703,42.0302,8.3599,24.83,True,24.83,18.82,3.88,3.75,0.964,26.19,-5.807711,3.1,solar.bun_bg#realenergyintotheload#kwh,bun_bg
2021-11-03,Spring,5,5,34.8356,48.0417,46.1321,-1.9096,-3.97,True,-3.97,-4.17,7.28,6.6,0.906,-37.91,4.802392,7.33,solar.bun_bg#realenergyintotheload#kwh,bun_bg
2022-01-05,Summer,16,16,46.4582,45.9679,31.2797,-14.6883,-31.95,True,-31.95,-33.37,7.6,7.64,1.005,1.06,-0.219117,2.94,solar.bun_bg#realenergyintotheload#kwh,bun_bg
2022-01-28,Summer,10,10,46.1044,53.5604,36.0634,-17.4969,-32.67,True,-32.67,-39.75,6.69,7.35,1.099,-16.17,1.149192,11.27,solar.bun_bg#realenergyintotheload#kwh,bun_bg
2022-04-19,Autumn,13,11,32.5585,51.7261,44.9129,-6.8132,-13.17,True,-13.17,-15.34,4.2,3.45,0.821,-58.87,1.399573,5.09,solar.bun_bg#realenergyintotheload#kwh,bun_bg
2022-04-26,Autumn,6,5,54.8421,53.5261,43.3422,-10.1839,-19.03,True,-19.03,-22.93,3.86,3.33,0.863,2.4,2.787416,2.66,solar.bun_bg#realenergyintotheload#kwh,bun_bg
2022-09-08,Spring,8,7,41.0834,50.7176,34.8653,-15.8522,-31.26,True,-31.26,-34.58,4.35,4.21,0.968,-23.45,1.878159,5.66,solar.bun_bg#realenergyintotheload#kwh,bun_bg
2022-12-22,Summer,7,7,41.7049,48.6297,45.8919,-2.7378,-5.63,True,-5.63,-6.22,8.68,8.36,0.962,-16.6,3.085975,1.55,solar.bun_bg#realenergyintotheload#kwh,bun_bg
2023-01-18,Summer,14,14,18.5125,44.5788,40.9346,-3.6442,-8.17,True,-8.17,-8.28,7.21,8.2,1.138,-140.8,1.207577,4.73,solar.bun_bg#realenergyintotheload#kwh,bun_bg
