meter,meter_short,n_rain_events,n_ghi_matched,avg_recovery_pct,avg_sn_recovery_pct,avg_ghi_matched_recovery_pct,avg_soiling_rate_per_day,annual_soiling_loss_pct,annual_soiling_loss_kwh,total_days,dry_days,rain_days,dry_pct
solar.bun_bg#realenergyintotheload#kwh,bun_bg,29,28,-14.56,-12.52,-14.63,0.842688,525.35,989.01,1712,1306,139,76.3
solar.bun_carm1#realenergyintotheload#kwh,bun_carm1,28,27,-9.23,-10.48,-9.27,1.128536,517.09,1383.27,1718,1314,133,76.5
solar.bun_carm2#realenergyintotheload#kwh,bun_carm2,29,28,-8.48,-10.85,-8.56,1.218339,399.6,1479.25,1714,1314,132,76.7
solar.bun_cs1#realenergyintotheload#kwh,bun_cs1,30,28,-12.49,-14.78,-11.72,0.762429,676.42,888.62,1684,1279,134,76.0
solar.bun_dmw#realenergyintotheload#kwh,bun_dmw,28,27,-13.74,-16.58,-13.85,2.687875,636.45,3120.97,1591,1203,129,75.6
solar.bun_dw#realenergyintotheload#kwh,bun_dw,27,25,-8.57,-10.31,-8.5,2.582604,524.65,3201.18,1602,1232,122,76.9
solar.bun_hs1#realenergyintotheload#kwh,bun_hs1,28,28,-12.2,-14.73,-12.2,1.222101,633.25,1457.08,1652,1257,133,76.1
solar.bun_hs2#realenergyintotheload#kwh,bun_hs2,29,27,-11.35,-13.29,-10.21,0.567007,626.97,663.87,1702,1296,139,76.1
solar.bun_hs3#realenergyintotheload#kwh,bun_hs3,29,27,-9.71,-11.24,-9.0,0.971572,577.24,1137.99,1712,1297,138,75.8
solar.bun_hsc#realenergyintotheload#kwh,bun_hsc,30,28,-12.56,-13.35,-12.31,0.737096,541.79,897.01,1678,1288,131,76.8
solar.bun_hu3#realenergyintotheload#kwh,bun_hu3,31,29,-10.36,-14.62,-9.19,1.500715,774.29,1698.71,1665,1261,136,75.7
solar.bun_library#realenergyintotheload#kwh,bun_library,27,25,-9.06,-11.04,-9.62,7.049508,756.96,8729.84,1427,1072,118,75.1
solar.bun_lims1#realenergyintotheload#kwh,bun_lims1,27,26,-9.99,-11.66,-9.92,0.53103,590.27,648.24,1651,1261,129,76.4
solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh,bun_ltss_pv_lgcmeter,34,33,-13.07,-19.37,-13.49,6.919067,830.43,9064.32,1802,1378,146,76.5
solar.bun_lwso#realenergyintotheload#kwh,bun_lwso,24,23,-12.84,-14.84,-12.72,0.210433,562.87,254.04,1538,1181,112,76.8
solar.bun_mc#realenergyintotheload#kwh,bun_mc,30,29,-9.94,-13.06,-9.73,0.564229,575.56,684.52,1676,1275,135,76.1
solar.bun_pe#realenergyintotheload#kwh,bun_pe,29,27,-13.24,-15.87,-12.34,1.328047,702.46,1589.64,1675,1271,133,75.9
solar.bun_ps2#realenergyintotheload#kwh,bun_ps2,29,28,-10.59,-11.88,-10.87,0.460565,598.32,558.57,1667,1266,135,75.9
solar.bun_pw#realenergyintotheload#kwh,bun_pw,28,27,-12.47,-14.57,-12.38,1.334892,640.98,1621.76,1666,1270,132,76.2
solar.bun_rd1#realenergyintotheload#kwh,bun_rd1,23,21,-16.02,-18.15,-15.12,0.510605,1017.2,579.14,1242,912,106,73.4
solar.bun_rd2#realenergyintotheload#kwh,bun_rd2,24,22,-14.99,-17.21,-14.23,0.673894,953.97,787.42,1319,981,112,74.4
solar.bun_rlr#realenergyintotheload#kwh,bun_rlr,27,26,-9.42,-11.6,-9.18,0.650271,571.18,789.74,1644,1259,126,76.6
solar.bun_sw#realenergyintotheload#kwh,bun_sw,29,27,-10.81,-12.18,-10.11,0.695186,604.35,821.7,1699,1289,139,75.9
solar.bun_tlc#realenergyintotheload#kwh,bun_tlc,26,25,-8.27,-10.22,-8.06,0.694397,527.42,851.2,1629,1253,123,76.9
solar.bun_union#realenergyintotheload#kwh,bun_union,30,29,-13.06,-14.41,-12.92,0.431682,550.13,511.98,1706,1298,140,76.1
solar.bun_wlt#realenergyintotheload#kwh,bun_wlt,31,29,-10.52,-12.12,-9.85,1.018667,560.15,1197.35,1702,1295,141,76.1
