date,daily_pi,pi_smooth,residual,event_type,step_magnitude,meter
2020-06-14,8.1758,3.6647,4.511,step_change_up,6.0647,solar.bun_bg#realenergyintotheload#kwh
2020-06-15,7.414,4.5618,2.8522,step_change_up,6.0647,solar.bun_bg#realenergyintotheload#kwh
2020-06-18,8.8686,5.4824,3.3862,step_change_up,5.4624,solar.bun_bg#realenergyintotheload#kwh
2020-06-19,9.1335,5.4897,3.6438,step_change_up,5.2299,solar.bun_bg#realenergyintotheload#kwh
2020-06-20,7.9835,6.0367,1.9467,step_change_up,3.5519,solar.bun_bg#realenergyintotheload#kwh
2020-06-22,3.6148,6.9893,-3.3745,sudden_drop,0.7979,solar.bun_bg#realenergyintotheload#kwh
2020-06-25,3.9196,6.0656,-2.1459,step_change_down,-4.236,solar.bun_bg#realenergyintotheload#kwh
2020-06-28,9.7053,5.4633,4.242,step_change_down,-4.5614,solar.bun_bg#realenergyintotheload#kwh
2020-06-29,9.8234,5.2308,4.5926,step_change_down,-5.1319,solar.bun_bg#realenergyintotheload#kwh
2020-07-01,9.9703,4.4626,5.5076,step_change_down,-5.2226,solar.bun_bg#realenergyintotheload#kwh
2020-07-02,0.886,2.6022,-1.7162,step_change_down,-5.2674,solar.bun_bg#realenergyintotheload#kwh
2022-10-01,2.9019,0.8368,2.0651,sudden_spike,0.3494,solar.bun_bg#realenergyintotheload#kwh
2020-06-06,6.2061,1.2981,4.908,step_change_up,8.2033,solar.bun_carm1#realenergyintotheload#kwh
2020-06-11,10.89,4.4011,6.4889,step_change_up,7.6439,solar.bun_carm1#realenergyintotheload#kwh
2020-06-13,2.5961,6.6205,-4.0243,step_change_up,8.2033,solar.bun_carm1#realenergyintotheload#kwh
2020-06-14,10.3731,7.8399,2.5332,step_change_up,8.2033,solar.bun_carm1#realenergyintotheload#kwh
2020-06-18,11.5221,8.2033,3.3187,step_change_up,6.0877,solar.bun_carm1#realenergyintotheload#kwh
2020-06-19,11.8647,8.2033,3.6614,step_change_up,2.7284,solar.bun_carm1#realenergyintotheload#kwh
2020-06-20,10.1936,7.644,2.5496,sudden_spike,-0.0378,solar.bun_carm1#realenergyintotheload#kwh
2020-06-22,4.7411,8.2033,-3.4623,step_change_down,-1.2572,solar.bun_carm1#realenergyintotheload#kwh
2020-06-25,5.4429,8.2033,-2.7604,step_change_down,-6.8576,solar.bun_carm1#realenergyintotheload#kwh
2020-06-28,12.3722,7.1295,5.2426,step_change_down,-6.6688,solar.bun_carm1#realenergyintotheload#kwh
2020-06-29,12.5219,6.5827,5.9392,step_change_down,-7.3098,solar.bun_carm1#realenergyintotheload#kwh
2020-07-01,12.7242,5.7973,6.9269,step_change_down,-6.7944,solar.bun_carm1#realenergyintotheload#kwh
2020-07-02,0.8686,3.4836,-2.615,step_change_down,-7.4071,solar.bun_carm1#realenergyintotheload#kwh
2021-11-28,2.9601,0.9714,1.9887,sudden_spike,0.0775,solar.bun_carm1#realenergyintotheload#kwh
2020-06-11,3.7381,1.0637,2.6744,step_change_up,2.1462,solar.bun_carm2#realenergyintotheload#kwh
2020-06-18,4.0933,2.4461,1.6472,step_change_up,1.7804,solar.bun_carm2#realenergyintotheload#kwh
2020-06-19,4.1136,2.4461,1.6675,step_change_up,0.9411,solar.bun_carm2#realenergyintotheload#kwh
2020-06-20,3.5985,2.1464,1.4521,sudden_spike,0.0431,solar.bun_carm2#realenergyintotheload#kwh
2020-06-28,4.4085,2.0048,2.4037,step_change_down,-1.88,solar.bun_carm2#realenergyintotheload#kwh
2020-06-29,4.4684,1.8641,2.6043,step_change_down,-2.2267,solar.bun_carm2#realenergyintotheload#kwh
2020-07-01,4.5132,1.7391,2.774,step_change_down,-1.9182,solar.bun_carm2#realenergyintotheload#kwh
2020-11-30,2.3174,0.8548,1.4627,sudden_spike,0.0834,solar.bun_carm2#realenergyintotheload#kwh
2021-02-03,2.5915,0.827,1.7645,sudden_spike,0.4554,solar.bun_carm2#realenergyintotheload#kwh
2021-11-28,3.0681,1.0232,2.0449,sudden_spike,0.1049,solar.bun_carm2#realenergyintotheload#kwh
2021-11-29,2.6827,1.0232,1.6595,sudden_spike,0.0681,solar.bun_carm2#realenergyintotheload#kwh
2022-10-01,3.2363,0.9841,2.2522,sudden_spike,0.3691,solar.bun_carm2#realenergyintotheload#kwh
2020-06-14,34.1674,14.0254,20.142,step_change_up,24.4271,solar.bun_cs1#realenergyintotheload#kwh
2020-06-15,27.8647,17.548,10.3167,step_change_up,22.4281,solar.bun_cs1#realenergyintotheload#kwh
2020-06-17,26.7893,21.75,5.0393,step_change_up,22.4281,solar.bun_cs1#realenergyintotheload#kwh
2020-06-18,34.4484,21.75,12.6984,step_change_up,21.901,solar.bun_cs1#realenergyintotheload#kwh
2020-06-19,35.6889,21.9118,13.7771,step_change_up,21.3365,solar.bun_cs1#realenergyintotheload#kwh
2020-06-20,31.8457,21.9118,9.9339,step_change_up,16.8379,solar.bun_cs1#realenergyintotheload#kwh
2020-06-22,13.6824,24.4379,-10.7555,step_change_up,6.1366,solar.bun_cs1#realenergyintotheload#kwh
2020-06-23,19.3664,24.4379,-5.0715,sudden_drop,0.8985,solar.bun_cs1#realenergyintotheload#kwh
2020-06-25,15.9355,24.7903,-8.8549,step_change_down,-20.5994,solar.bun_cs1#realenergyintotheload#kwh
2020-06-28,37.3092,21.3473,15.9619,step_change_down,-21.0161,solar.bun_cs1#realenergyintotheload#kwh
2020-06-29,37.55,20.162,17.3881,step_change_down,-23.5676,solar.bun_cs1#realenergyintotheload#kwh
2020-07-01,37.8913,18.4465,19.4448,step_change_down,-21.6336,solar.bun_cs1#realenergyintotheload#kwh
2020-07-02,0.9187,8.562,-7.6433,step_change_down,-24.0968,solar.bun_cs1#realenergyintotheload#kwh
2021-02-03,2.595,0.8717,1.7233,sudden_spike,0.3276,solar.bun_dmw#realenergyintotheload#kwh
2021-09-26,2.4898,1.1122,1.3776,sudden_spike,-0.0549,solar.bun_dmw#realenergyintotheload#kwh
2022-10-01,2.9654,0.8599,2.1055,sudden_spike,0.3816,solar.bun_dmw#realenergyintotheload#kwh
2024-02-05,0.2196,1.567,-1.3475,sudden_drop,-0.0418,solar.bun_dmw#realenergyintotheload#kwh
2020-06-29,9.9866,0.7148,9.2718,sudden_spike,0.871,solar.bun_dw#realenergyintotheload#kwh
2021-02-03,2.3295,0.7868,1.5427,sudden_spike,0.1537,solar.bun_dw#realenergyintotheload#kwh
2022-10-01,2.8584,0.9374,1.921,sudden_spike,0.3358,solar.bun_dw#realenergyintotheload#kwh
2020-06-14,6.2107,2.6573,3.5534,step_change_up,4.6564,solar.bun_hs1#realenergyintotheload#kwh
2020-06-15,5.2552,3.3207,1.9345,step_change_up,4.6564,solar.bun_hs1#realenergyintotheload#kwh
2020-06-18,6.3363,4.0388,2.2975,step_change_up,3.9525,solar.bun_hs1#realenergyintotheload#kwh
2020-06-19,6.5469,4.0388,2.5081,step_change_up,3.853,solar.bun_hs1#realenergyintotheload#kwh
2020-06-22,2.553,5.2301,-2.6771,sudden_drop,0.5919,solar.bun_hs1#realenergyintotheload#kwh
2020-06-25,2.7082,4.657,-1.9489,step_change_down,-2.6559,solar.bun_hs1#realenergyintotheload#kwh
2020-06-28,6.878,3.9532,2.9248,step_change_down,-3.1784,solar.bun_hs1#realenergyintotheload#kwh
2020-06-29,6.8387,3.8537,2.985,step_change_down,-3.8271,solar.bun_hs1#realenergyintotheload#kwh
2020-07-01,7.065,3.2492,3.8157,step_change_down,-3.8765,solar.bun_hs1#realenergyintotheload#kwh
2021-02-03,2.3291,0.7452,1.5839,sudden_spike,0.1791,solar.bun_hs1#realenergyintotheload#kwh
2021-11-28,3.0064,0.7293,2.2771,sudden_spike,-0.076,solar.bun_hs1#realenergyintotheload#kwh
2020-06-14,4.9781,2.3442,2.6339,step_change_up,4.0589,solar.bun_hs2#realenergyintotheload#kwh
2020-06-15,4.7556,2.9509,1.8048,step_change_up,4.0574,solar.bun_hs2#realenergyintotheload#kwh
2020-06-18,5.3519,3.549,1.8029,step_change_up,3.5743,solar.bun_hs2#realenergyintotheload#kwh
2020-06-19,5.5161,3.5775,1.9385,step_change_up,3.4255,solar.bun_hs2#realenergyintotheload#kwh
2020-06-22,2.3835,4.6092,-2.2257,sudden_drop,0.5208,solar.bun_hs2#realenergyintotheload#kwh
2020-06-25,2.4478,4.0606,-1.6129,step_change_down,-2.4383,solar.bun_hs2#realenergyintotheload#kwh
2020-06-28,5.7917,3.5775,2.2142,step_change_down,-2.7092,solar.bun_hs2#realenergyintotheload#kwh
2020-06-29,5.8358,3.4288,2.4071,step_change_down,-3.2131,solar.bun_hs2#realenergyintotheload#kwh
2020-07-01,5.9369,2.865,3.0719,step_change_down,-3.3258,solar.bun_hs2#realenergyintotheload#kwh
2021-02-03,2.3295,0.7334,1.5961,sudden_spike,0.1529,solar.bun_hs2#realenergyintotheload#kwh
2021-11-28,3.223,0.7773,2.4456,sudden_spike,0.1289,solar.bun_hs2#realenergyintotheload#kwh
2021-11-29,2.3557,0.7773,1.5784,sudden_spike,0.1289,solar.bun_hs2#realenergyintotheload#kwh
2020-06-14,11.7114,5.1229,6.5886,step_change_up,8.7844,solar.bun_hs3#realenergyintotheload#kwh
2020-06-15,10.214,6.4359,3.7781,step_change_up,8.7844,solar.bun_hs3#realenergyintotheload#kwh
2020-06-18,12.2721,7.7309,4.5412,step_change_up,7.6599,solar.bun_hs3#realenergyintotheload#kwh
2020-06-19,12.619,7.7309,4.8881,step_change_up,7.4848,solar.bun_hs3#realenergyintotheload#kwh
2020-06-20,11.2934,8.6536,2.6398,step_change_up,5.15,solar.bun_hs3#realenergyintotheload#kwh
2020-06-22,5.1118,9.8806,-4.7688,step_change_up,1.2715,solar.bun_hs3#realenergyintotheload#kwh
2020-06-25,5.4371,8.7873,-3.3502,step_change_down,-6.4761,solar.bun_hs3#realenergyintotheload#kwh
2020-06-28,13.2476,7.6628,5.5848,step_change_down,-6.8647,solar.bun_hs3#realenergyintotheload#kwh
2020-06-29,13.3911,7.4877,5.9034,step_change_down,-7.7874,solar.bun_hs3#realenergyintotheload#kwh
2020-07-01,12.4649,6.3944,6.0705,step_change_down,-8.0552,solar.bun_hs3#realenergyintotheload#kwh
2020-07-02,0.9215,3.3328,-2.4113,step_change_down,-8.0552,solar.bun_hs3#realenergyintotheload#kwh
2021-02-03,2.6765,0.7394,1.9371,sudden_spike,0.1212,solar.bun_hs3#realenergyintotheload#kwh
2021-11-28,3.2374,0.8317,2.4057,sudden_spike,0.1365,solar.bun_hs3#realenergyintotheload#kwh
2021-02-03,2.3907,0.6831,1.7076,sudden_spike,0.1733,solar.bun_hsc#realenergyintotheload#kwh
2021-08-21,2.0974,0.8709,1.2265,sudden_spike,0.0211,solar.bun_hsc#realenergyintotheload#kwh
2021-09-26,2.3169,0.9624,1.3545,sudden_spike,-0.1349,solar.bun_hsc#realenergyintotheload#kwh
2022-08-21,2.1482,0.8643,1.284,sudden_spike,-0.0768,solar.bun_hsc#realenergyintotheload#kwh
2022-10-01,3.22,0.8008,2.4192,sudden_spike,0.4063,solar.bun_hsc#realenergyintotheload#kwh
2024-02-05,0.1738,1.2992,-1.1254,sudden_drop,-0.085,solar.bun_hsc#realenergyintotheload#kwh
2024-11-29,2.0426,0.8333,1.2093,sudden_spike,0.4039,solar.bun_hsc#realenergyintotheload#kwh
2020-06-14,4.1729,1.6442,2.5287,step_change_up,3.0884,solar.bun_hu3#realenergyintotheload#kwh
2020-06-18,4.9381,2.4815,2.4566,step_change_up,2.3062,solar.bun_hu3#realenergyintotheload#kwh
2020-06-19,4.7443,2.4815,2.2628,step_change_up,1.9919,solar.bun_hu3#realenergyintotheload#kwh
2020-06-22,1.4576,3.5948,-2.1372,sudden_drop,0.3104,solar.bun_hu3#realenergyintotheload#kwh
2020-06-28,5.3583,2.3065,3.0518,step_change_down,-1.2535,solar.bun_hu3#realenergyintotheload#kwh
2020-06-29,5.4429,1.9922,3.4507,step_change_down,-1.993,solar.bun_hu3#realenergyintotheload#kwh
2020-07-01,5.5089,1.9546,3.5543,step_change_down,-2.1483,solar.bun_hu3#realenergyintotheload#kwh
2021-02-03,3.101,1.0246,2.0763,sudden_spike,-0.1069,solar.bun_hu3#realenergyintotheload#kwh
2022-10-01,2.8777,1.0384,1.8392,sudden_spike,0.4001,solar.bun_hu3#realenergyintotheload#kwh
2020-06-30,3.2386,0.9968,2.2419,sudden_spike,0.8673,solar.bun_library#realenergyintotheload#kwh
2020-07-01,6.6244,0.826,5.7983,sudden_spike,0.8542,solar.bun_library#realenergyintotheload#kwh
2021-02-03,2.554,0.8063,1.7477,sudden_spike,0.1562,solar.bun_library#realenergyintotheload#kwh
2022-10-01,2.8992,0.8872,2.012,sudden_spike,0.3562,solar.bun_library#realenergyintotheload#kwh
2020-06-12,6.41,0.8508,5.5593,step_change_up,5.0746,solar.bun_lims1#realenergyintotheload#kwh
2020-06-13,1.6995,3.422,-1.7225,step_change_up,5.892,solar.bun_lims1#realenergyintotheload#kwh
2020-06-14,7.688,5.7773,1.9108,step_change_up,5.892,solar.bun_lims1#realenergyintotheload#kwh
2020-06-18,7.904,5.7773,2.1267,step_change_up,4.9764,solar.bun_lims1#realenergyintotheload#kwh
2020-06-19,8.0885,5.7773,2.3113,step_change_up,4.0591,solar.bun_lims1#realenergyintotheload#kwh
2020-06-20,7.3899,5.0755,2.3143,sudden_spike,0.8197,solar.bun_lims1#realenergyintotheload#kwh
2020-06-21,2.642,5.8929,-3.2509,step_change_down,-1.5355,solar.bun_lims1#realenergyintotheload#kwh
2020-06-22,3.3861,5.8929,-2.5068,step_change_down,-1.5355,solar.bun_lims1#realenergyintotheload#kwh
2020-06-25,3.6139,5.9454,-2.3316,step_change_down,-4.3967,solar.bun_lims1#realenergyintotheload#kwh
2020-06-28,8.6982,4.9099,3.7883,step_change_down,-4.1543,solar.bun_lims1#realenergyintotheload#kwh
2020-06-29,8.8302,4.2417,4.5884,step_change_down,-5.0339,solar.bun_lims1#realenergyintotheload#kwh
2020-07-01,8.8801,4.2417,4.6384,step_change_down,-4.4074,solar.bun_lims1#realenergyintotheload#kwh
2020-07-02,0.9391,2.559,-1.6199,step_change_down,-5.1558,solar.bun_lims1#realenergyintotheload#kwh
2021-01-23,4.0708,1.0487,3.0221,sudden_spike,-0.2056,solar.bun_lims1#realenergyintotheload#kwh
2021-11-28,2.8924,1.016,1.8764,sudden_spike,0.1724,solar.bun_lims1#realenergyintotheload#kwh
2020-01-11,8.1752,12.4424,-4.2672,sudden_drop,1.5959,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh
2020-01-16,7.575,13.0873,-5.5123,step_change_down,-2.6106,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh
2020-01-20,3.7422,11.7009,-7.9587,step_change_down,-2.8425,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh
2020-01-22,4.602,10.3419,-5.7399,sudden_drop,-1.9538,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh
2020-01-23,4.3117,10.3419,-6.0302,sudden_drop,-1.2714,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh
2020-01-31,7.1088,11.8159,-4.7071,sudden_drop,2.335,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh
2020-02-01,1.4279,11.8159,-10.3879,step_change_up,3.2237,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh
2020-02-04,19.931,12.9594,6.9717,sudden_spike,0.7518,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh
2020-02-07,5.7929,13.5656,-7.7727,step_change_down,-3.3361,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh
