meter,meter_short,deg_pct_per_year,median_PI,n_months,valid_coverage_pct,calibration_a,calibration_b,soiling_events,sudden_events
solar.bun_bg#realenergyintotheload#kwh,bun_bg,11.7757,0.7468,56,78.03,0.001086,0.055238,8,4
solar.bun_carm1#realenergyintotheload#kwh,bun_carm1,8.1751,0.8671,56,79.2,0.001068,-1.599752,11,2
solar.bun_carm2#realenergyintotheload#kwh,bun_carm2,16.1716,0.7382,56,74.3,0.001114,-2.85258,12,2
solar.bun_cs1#realenergyintotheload#kwh,bun_cs1,11.6861,0.7433,56,77.36,0.001015,-0.304196,11,3
solar.bun_dmw#realenergyintotheload#kwh,bun_dmw,9.1202,0.8196,59,74.56,0.000989,5.190472,13,3
solar.bun_dw#realenergyintotheload#kwh,bun_dw,13.1895,0.7741,56,76.69,0.006605,-4.344513,7,3
solar.bun_hs1#realenergyintotheload#kwh,bun_hs1,20.6136,0.7302,60,79.83,0.000987,1.316922,10,2
solar.bun_hs2#realenergyintotheload#kwh,bun_hs2,13.3937,0.7276,56,79.67,0.001187,0.178006,8,7
solar.bun_hs3#realenergyintotheload#kwh,bun_hs3,11.2391,0.793,56,76.3,0.001159,-1.505687,10,2
solar.bun_hsc#realenergyintotheload#kwh,bun_hsc,11.9078,0.692,56,76.49,0.001108,-0.762295,12,4
solar.bun_hu3#realenergyintotheload#kwh,bun_hu3,-6.7558,0.6624,60,72.8,0.001107,3.463816,13,8
solar.bun_library#realenergyintotheload#kwh,bun_library,4.3007,1.0073,60,77.29,0.001048,22.324927,12,6
solar.bun_lims1#realenergyintotheload#kwh,bun_lims1,9.7581,0.837,56,77.88,0.001085,-0.365794,9,3
solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh,bun_ltss_pv_lgcmeter,0.9409,0.7944,56,70.2,0.000941,-18.247174,11,4
solar.bun_lwso#realenergyintotheload#kwh,bun_lwso,12.5972,0.9007,60,78.09,0.00111,0.191622,11,6
solar.bun_mc#realenergyintotheload#kwh,bun_mc,15.1894,0.6916,56,77.2,0.001003,-0.023575,6,6
solar.bun_pe#realenergyintotheload#kwh,bun_pe,14.0937,0.691,56,78.27,0.001049,0.414185,9,3
solar.bun_ps2#realenergyintotheload#kwh,bun_ps2,14.6636,0.699,56,75.8,0.001137,-0.589818,11,9
solar.bun_pw#realenergyintotheload#kwh,bun_pw,13.1245,0.6863,56,74.22,0.001084,-1.223021,12,4
solar.bun_rd1#realenergyintotheload#kwh,bun_rd1,-4.4037,1.0576,60,75.21,0.000993,4.571269,16,29
solar.bun_rd2#realenergyintotheload#kwh,bun_rd2,-5.2632,1.0843,60,74.91,0.001177,3.875503,13,47
solar.bun_rlr#realenergyintotheload#kwh,bun_rlr,9.9097,0.8458,56,76.52,0.001092,-0.647134,7,3
solar.bun_sw#realenergyintotheload#kwh,bun_sw,14.1984,0.7539,56,78.9,0.00104,-0.122555,6,5
solar.bun_tlc#realenergyintotheload#kwh,bun_tlc,12.2389,0.7689,56,76.46,0.001114,-1.213613,11,4
solar.bun_union#realenergyintotheload#kwh,bun_union,12.1794,0.7294,56,75.54,0.000701,-0.314521,11,2
solar.bun_wlt#realenergyintotheload#kwh,bun_wlt,9.5482,0.7532,56,75.38,0.001037,-1.298088,10,2
