meter,degradation_pct_per_year,trend_slope_PI_per_year,median_PI,valid_coverage_pct,n_months,excluded
solar.bun_bg#realenergyintotheload#kwh,1.5579,0.013088,0.8401,48.73,66,
solar.bun_carm1#realenergyintotheload#kwh,-7.9006,-0.068742,0.8701,48.23,65,
solar.bun_carm2#realenergyintotheload#kwh,6.8177,0.060345,0.8851,50.96,65,
solar.bun_cs1#realenergyintotheload#kwh,-34.0822,-0.287536,0.8437,46.32,66,
solar.bun_dmw#realenergyintotheload#kwh,-0.8211,-0.007344,0.8945,41.66,60,
solar.bun_dw#realenergyintotheload#kwh,3.0067,0.024756,0.8234,41.76,63,
solar.bun_hs1#realenergyintotheload#kwh,-0.0131,-0.000108,0.8237,43.93,62,
solar.bun_hs2#realenergyintotheload#kwh,4.7693,0.038442,0.806,46.08,66,
solar.bun_hs3#realenergyintotheload#kwh,-4.149,-0.03444,0.8301,46.44,67,
solar.bun_hsc#realenergyintotheload#kwh,8.4541,0.066225,0.7834,47.17,63,
solar.bun_hu3#realenergyintotheload#kwh,-8.9037,-0.08298,0.932,45.25,65,
solar.bun_library#realenergyintotheload#kwh,1.8505,0.015874,0.8578,36.08,59,
solar.bun_lims1#realenergyintotheload#kwh,-4.9364,-0.043124,0.8736,47.48,65,
solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh,-59.3373,-0.5241,0.8833,71.73,68,
solar.bun_lwso#realenergyintotheload#kwh,5.6262,0.047858,0.8506,42.95,62,
solar.bun_mc#realenergyintotheload#kwh,8.7051,0.068469,0.7865,46.69,64,
solar.bun_pe#realenergyintotheload#kwh,-6.8357,-0.057903,0.8471,44.13,63,
solar.bun_ps2#realenergyintotheload#kwh,-0.9217,-0.007341,0.7965,45.39,64,
solar.bun_pw#realenergyintotheload#kwh,-5.5604,-0.042742,0.7687,44.49,64,
solar.bun_rd1#realenergyintotheload#kwh,-38.5252,-0.306235,0.7949,28.47,46,
solar.bun_rd2#realenergyintotheload#kwh,-31.1121,-0.254177,0.817,28.17,48,
solar.bun_rlr#realenergyintotheload#kwh,-3.568,-0.030505,0.855,43.09,64,
solar.bun_sw#realenergyintotheload#kwh,1.6697,0.013967,0.8365,46.3,64,
solar.bun_tlc#realenergyintotheload#kwh,-14.3778,-0.118518,0.8243,43.19,63,
solar.bun_union#realenergyintotheload#kwh,11.3684,0.091731,0.8069,47.29,65,
solar.bun_wlt#realenergyintotheload#kwh,0.8942,0.007984,0.8929,46.4,65,
