meter,month,PR
solar.bun_bg#realenergyintotheload#kwh,2020-02,0.00023318868173616373
solar.bun_bg#realenergyintotheload#kwh,2020-03,0.00023325519990791366
solar.bun_bg#realenergyintotheload#kwh,2020-04,0.00015575862676300725
solar.bun_bg#realenergyintotheload#kwh,2020-05,0.000164694232847711
solar.bun_bg#realenergyintotheload#kwh,2020-06,1.018897125579538
solar.bun_bg#realenergyintotheload#kwh,2020-07,0.973438644795847
solar.bun_bg#realenergyintotheload#kwh,2020-08,1.056231223575601
solar.bun_bg#realenergyintotheload#kwh,2020-09,1.0643914069204552
solar.bun_bg#realenergyintotheload#kwh,2020-10,0.9698999198628222
solar.bun_bg#realenergyintotheload#kwh,2020-11,1.022765390077481
solar.bun_bg#realenergyintotheload#kwh,2020-12,1.0671835951887731
solar.bun_bg#realenergyintotheload#kwh,2021-01,1.0215561979584102
solar.bun_bg#realenergyintotheload#kwh,2021-02,1.1545193333394228
solar.bun_bg#realenergyintotheload#kwh,2021-03,1.1232905776108564
solar.bun_bg#realenergyintotheload#kwh,2021-04,1.1140193930366014
solar.bun_bg#realenergyintotheload#kwh,2021-05,1.0404343177614988
solar.bun_bg#realenergyintotheload#kwh,2021-06,0.9779063303483112
solar.bun_bg#realenergyintotheload#kwh,2021-07,3.4161761405076585e-06
solar.bun_bg#realenergyintotheload#kwh,2021-08,0.9570850114785945
solar.bun_bg#realenergyintotheload#kwh,2021-09,1.0364885795418521
solar.bun_bg#realenergyintotheload#kwh,2021-10,0.9538320220900651
solar.bun_bg#realenergyintotheload#kwh,2021-11,1.1023631022453175
solar.bun_bg#realenergyintotheload#kwh,2021-12,1.0404894347251579
solar.bun_bg#realenergyintotheload#kwh,2022-01,1.0385155477991528
solar.bun_bg#realenergyintotheload#kwh,2022-02,1.1279894130615222
solar.bun_bg#realenergyintotheload#kwh,2022-03,1.1093028801837472
solar.bun_bg#realenergyintotheload#kwh,2022-04,1.2223699068813592
solar.bun_bg#realenergyintotheload#kwh,2022-05,1.0388233367510489
solar.bun_bg#realenergyintotheload#kwh,2022-06,0.9564127564487307
solar.bun_bg#realenergyintotheload#kwh,2022-07,1.0108403052256856
solar.bun_bg#realenergyintotheload#kwh,2022-08,0.9706115972628204
solar.bun_bg#realenergyintotheload#kwh,2022-09,0.9664497744865826
solar.bun_bg#realenergyintotheload#kwh,2022-10,0.9654441262605115
solar.bun_bg#realenergyintotheload#kwh,2022-11,1.0242237739703328
solar.bun_bg#realenergyintotheload#kwh,2022-12,1.0648741036289064
solar.bun_bg#realenergyintotheload#kwh,2023-01,1.016407531372849
solar.bun_bg#realenergyintotheload#kwh,2023-02,1.0387993956363744
solar.bun_bg#realenergyintotheload#kwh,2023-03,1.1588685280471778
