start_date,end_date,dry_days,pi_slope_per_day,pi_start,pi_end,pi_drop,pi_recovery_after_rain,is_soiling,meter
2021-01-01,2021-01-25,24,0.011265,1.3388,0.3931,0.9457,0.497,False,solar.bun_bg#realenergyintotheload#kwh
2021-01-30,2021-02-04,6,0.189031,0.4625,1.3512,-0.8886,0.458,False,solar.bun_bg#realenergyintotheload#kwh
2021-02-06,2021-03-20,43,0.002141,0.458,1.4876,-1.0297,0.4672,False,solar.bun_bg#realenergyintotheload#kwh
2021-03-24,2021-09-28,161,0.00178,0.4131,1.4277,-1.0147,0.4181,False,solar.bun_bg#realenergyintotheload#kwh
2021-09-30,2021-11-02,34,0.019259,0.1981,1.3282,-1.1301,1.0245,False,solar.bun_bg#realenergyintotheload#kwh
2021-11-04,2021-11-11,8,-0.077777,1.0245,0.7327,0.2918,0.4348,True,solar.bun_bg#realenergyintotheload#kwh
2021-11-13,2021-11-24,12,0.012809,0.4348,0.7508,-0.3161,0.5319,False,solar.bun_bg#realenergyintotheload#kwh
2021-11-26,2021-12-18,23,0.020407,0.5319,1.2886,-0.7566,1.0405,False,solar.bun_bg#realenergyintotheload#kwh
2021-12-20,2022-01-05,17,-0.00579,1.0405,0.3489,0.6916,0.343,True,solar.bun_bg#realenergyintotheload#kwh
2022-01-08,2022-01-27,20,0.015908,0.343,1.0677,-0.7247,0.5157,False,solar.bun_bg#realenergyintotheload#kwh
2022-01-29,2022-02-28,31,-0.003581,0.4503,0.3062,0.1441,0.5336,True,solar.bun_bg#realenergyintotheload#kwh
2022-03-06,2022-04-17,43,-5.4e-05,0.2638,1.376,-1.1122,0.1653,False,solar.bun_bg#realenergyintotheload#kwh
2022-04-20,2022-05-29,39,0.000686,0.6169,1.2747,-0.6578,0.6363,False,solar.bun_bg#realenergyintotheload#kwh
2022-05-31,2022-06-04,5,0.118185,0.6415,1.1761,-0.5346,0.7401,False,solar.bun_bg#realenergyintotheload#kwh
2022-06-06,2022-07-16,41,0.003107,0.8021,0.3828,0.4193,0.7231,False,solar.bun_bg#realenergyintotheload#kwh
2022-07-18,2022-09-07,52,0.006247,0.6966,1.6155,-0.919,0.5483,False,solar.bun_bg#realenergyintotheload#kwh
2022-09-09,2022-09-26,18,0.031692,0.5655,0.5532,0.0122,0.6277,False,solar.bun_bg#realenergyintotheload#kwh
