season,n_events,avg_recovery_pct,median_recovery_pct,avg_soiling_loss_pct,avg_dry_days,avg_soiling_rate,meter,meter_short
Autumn,8,-8.6763,-6.04,-334.1988,8.5,-0.5897,solar.bun_bg#realenergyintotheload#kwh,bun_bg
Spring,9,-12.5311,-12.61,-19.8589,7.1111,1.9541,solar.bun_bg#realenergyintotheload#kwh,bun_bg
Summer,11,-18.1782,-13.79,-26.9491,12.0909,0.9751,solar.bun_bg#realenergyintotheload#kwh,bun_bg
Winter,1,-39.99,-39.99,0.0,6.0,,solar.bun_bg#realenergyintotheload#kwh,bun_bg
Autumn,6,6.1117,0.315,2.65,7.8333,-0.4112,solar.bun_carm1#realenergyintotheload#kwh,bun_carm1
Spring,9,-10.1578,-11.89,-17.0967,7.1111,2.4037,solar.bun_carm1#realenergyintotheload#kwh,bun_carm1
Summer,12,-13.8883,-9.09,-9.8217,11.5,0.8429,solar.bun_carm1#realenergyintotheload#kwh,bun_carm1
Winter,1,-37.08,-37.08,0.0,6.0,2.3178,solar.bun_carm1#realenergyintotheload#kwh,bun_carm1
Autumn,7,9.57,3.14,1.7343,8.0,-1.2302,solar.bun_carm2#realenergyintotheload#kwh,bun_carm2
Spring,9,-9.7922,-6.15,-15.9822,7.0,2.8329,solar.bun_carm2#realenergyintotheload#kwh,bun_carm2
Summer,12,-15.1092,-9.36,-13.9033,11.5,1.2428,solar.bun_carm2#realenergyintotheload#kwh,bun_carm2
Winter,1,-43.49,-43.49,0.0,6.0,3.5337,solar.bun_carm2#realenergyintotheload#kwh,bun_carm2
Autumn,8,2.545,-3.655,-6.9288,8.25,-0.1403,solar.bun_cs1#realenergyintotheload#kwh,bun_cs1
Spring,10,-14.587,-16.685,-29.672,7.1,1.5716,solar.bun_cs1#realenergyintotheload#kwh,bun_cs1
Summer,11,-18.7782,-15.04,-26.9,12.0909,0.6542,solar.bun_cs1#realenergyintotheload#kwh,bun_cs1
Winter,1,-42.68,-42.68,0.0,5.0,1.0832,solar.bun_cs1#realenergyintotheload#kwh,bun_cs1
Autumn,6,9.685,7.265,1.1083,7.6667,-1.9971,solar.bun_dmw#realenergyintotheload#kwh,bun_dmw
Spring,10,-24.511,-17.705,-18.563,7.1,5.0198,solar.bun_dmw#realenergyintotheload#kwh,bun_dmw
Summer,11,-14.0618,-13.13,-31.9418,9.8182,2.9926,solar.bun_dmw#realenergyintotheload#kwh,bun_dmw
Winter,1,-43.03,-43.03,0.0,5.0,4.1259,solar.bun_dmw#realenergyintotheload#kwh,bun_dmw
Autumn,6,5.745,-4.11,-2.2383,7.5,-1.462,solar.bun_dw#realenergyintotheload#kwh,bun_dw
Spring,9,-11.8456,-14.58,-26.8289,8.7778,5.0456,solar.bun_dw#realenergyintotheload#kwh,bun_dw
Summer,11,-10.8109,-10.75,-12.7664,12.0,2.5402,solar.bun_dw#realenergyintotheload#kwh,bun_dw
Winter,1,-40.36,-40.36,0.0,6.0,5.1504,solar.bun_dw#realenergyintotheload#kwh,bun_dw
Autumn,6,9.8733,10.265,1.135,7.6667,-0.8563,solar.bun_hs1#realenergyintotheload#kwh,bun_hs1
Spring,10,-16.415,-19.52,-28.427,7.1,2.5971,solar.bun_hs1#realenergyintotheload#kwh,bun_hs1
Summer,11,-17.7264,-15.7,-22.4036,12.0909,1.0475,solar.bun_hs1#realenergyintotheload#kwh,bun_hs1
Winter,1,-41.71,-41.71,0.0,6.0,1.8638,solar.bun_hs1#realenergyintotheload#kwh,bun_hs1
Autumn,8,1.9012,-9.46,-148.9662,7.875,-0.2365,solar.bun_hs2#realenergyintotheload#kwh,bun_hs2
Spring,9,-12.6056,-15.25,-29.1489,7.1111,1.2746,solar.bun_hs2#realenergyintotheload#kwh,bun_hs2
Summer,11,-17.5745,-14.41,-25.8309,12.0909,0.5308,solar.bun_hs2#realenergyintotheload#kwh,bun_hs2
Winter,1,-37.54,-37.54,0.0,6.0,1.0252,solar.bun_hs2#realenergyintotheload#kwh,bun_hs2
Autumn,8,3.83,-5.155,-0.89,7.875,-0.2268,solar.bun_hs3#realenergyintotheload#kwh,bun_hs3
Spring,9,-12.2456,-14.02,-18.4656,7.1111,2.0563,solar.bun_hs3#realenergyintotheload#kwh,bun_hs3
Summer,11,-15.09,-12.99,-22.9755,12.0909,0.9575,solar.bun_hs3#realenergyintotheload#kwh,bun_hs3
Winter,1,-36.02,-36.02,0.0,6.0,0.9513,solar.bun_hs3#realenergyintotheload#kwh,bun_hs3
Autumn,7,0.0557,-4.95,-3.2457,7.5714,-0.1769,solar.bun_hsc#realenergyintotheload#kwh,bun_hsc
Spring,10,-12.654,-15.37,-29.326,7.1,1.774,solar.bun_hsc#realenergyintotheload#kwh,bun_hsc
Summer,12,-17.6483,-8.85,-10.8783,11.4167,0.4062,solar.bun_hsc#realenergyintotheload#kwh,bun_hsc
Winter,1,-38.88,-38.88,0.0,12.0,,solar.bun_hsc#realenergyintotheload#kwh,bun_hsc
Autumn,9,4.3733,-1.62,-12.53,8.1111,0.8538,solar.bun_hu3#realenergyintotheload#kwh,bun_hu3
Spring,10,-15.658,-16.77,-19.561,7.1,2.4852,solar.bun_hu3#realenergyintotheload#kwh,bun_hu3
Summer,11,-14.1173,-13.35,-35722.9973,10.8182,1.0522,solar.bun_hu3#realenergyintotheload#kwh,bun_hu3
Winter,1,-48.63,-48.63,0.0,11.0,2.4117,solar.bun_hu3#realenergyintotheload#kwh,bun_hu3
Autumn,7,-1.7843,-9.54,-20.7843,10.5714,1.4842,solar.bun_library#realenergyintotheload#kwh,bun_library
Spring,10,-12.639,-14.75,-28.149,7.1,13.2498,solar.bun_library#realenergyintotheload#kwh,bun_library
Summer,10,-10.577,-14.67,-20.791,11.7,4.7449,solar.bun_library#realenergyintotheload#kwh,bun_library
Autumn,6,8.1533,4.505,0.98,7.8333,-0.1493,solar.bun_lims1#realenergyintotheload#kwh,bun_lims1
Spring,9,-11.6967,-11.76,-18.6856,7.1111,1.0273,solar.bun_lims1#realenergyintotheload#kwh,bun_lims1
Summer,11,-16.0573,-11.43,-35.1673,12.0909,0.5113,solar.bun_lims1#realenergyintotheload#kwh,bun_lims1
Winter,1,-36.62,-36.62,0.0,6.0,0.3638,solar.bun_lims1#realenergyintotheload#kwh,bun_lims1
Autumn,9,-11.9967,-17.45,-21.1156,7.7778,9.0107,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh,bun_ltss_pv_lgcmeter
Spring,11,-2.9345,-0.87,-5.9373,6.8182,7.8702,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh,bun_ltss_pv_lgcmeter
Summer,13,-15.7354,-5.1,-91.7408,11.2308,4.6662,solar.bun_ltss_pv_lgcmeter#realenergyintotheload#kwh,bun_ltss_pv_lgcmeter
