date,daily_pi,pi_smooth,residual,event_type,step_magnitude,meter
2021-02-03,1.7608,0.577,1.1838,sudden_spike,-0.1836,solar.bun_bg#realenergyintotheload#kwh
2021-10-15,1.842,0.7105,1.1315,sudden_spike,0.2072,solar.bun_bg#realenergyintotheload#kwh
2022-09-05,1.7435,0.5605,1.1831,sudden_spike,0.0118,solar.bun_bg#realenergyintotheload#kwh
2023-03-25,1.5609,0.415,1.1459,sudden_spike,-0.6993,solar.bun_bg#realenergyintotheload#kwh
2025-01-06,0.2756,1.3823,-1.1067,sudden_drop,0.0726,solar.bun_carm1#realenergyintotheload#kwh
2025-03-16,0.1118,1.2868,-1.175,sudden_drop,-0.2238,solar.bun_carm1#realenergyintotheload#kwh
2022-09-22,1.8211,0.5867,1.2343,sudden_spike,-0.0246,solar.bun_carm2#realenergyintotheload#kwh
2024-11-13,0.2527,1.4491,-1.1965,sudden_drop,-0.1517,solar.bun_carm2#realenergyintotheload#kwh
2022-09-05,1.7902,0.5761,1.2141,sudden_spike,0.103,solar.bun_cs1#realenergyintotheload#kwh
2022-09-22,1.8364,0.5385,1.2978,sudden_spike,0.0417,solar.bun_cs1#realenergyintotheload#kwh
2025-01-06,0.1356,1.35,-1.2145,sudden_drop,0.1095,solar.bun_cs1#realenergyintotheload#kwh
2021-12-15,0.1164,1.3252,-1.2088,sudden_drop,-0.0281,solar.bun_dmw#realenergyintotheload#kwh
2024-04-27,1.8139,0.5976,1.2163,sudden_spike,-0.066,solar.bun_dmw#realenergyintotheload#kwh
2025-03-29,0.2695,1.4631,-1.1936,sudden_drop,0.0003,solar.bun_dmw#realenergyintotheload#kwh
2022-09-22,1.7725,0.5853,1.1871,sudden_spike,0.0026,solar.bun_dw#realenergyintotheload#kwh
2023-03-25,1.5686,0.4292,1.1395,sudden_spike,-0.5153,solar.bun_dw#realenergyintotheload#kwh
2024-03-29,1.7247,0.578,1.1467,step_change_down,-0.826,solar.bun_dw#realenergyintotheload#kwh
2022-09-05,1.7616,0.575,1.1866,sudden_spike,0.0096,solar.bun_hs1#realenergyintotheload#kwh
2024-04-27,1.862,0.6443,1.2177,sudden_spike,0.0121,solar.bun_hs1#realenergyintotheload#kwh
2022-09-05,1.7522,0.5415,1.2107,sudden_spike,-0.0029,solar.bun_hs2#realenergyintotheload#kwh
2022-09-06,1.7398,0.5872,1.1526,sudden_spike,-0.0029,solar.bun_hs2#realenergyintotheload#kwh
2022-09-22,1.6361,0.5035,1.1326,sudden_spike,0.0794,solar.bun_hs2#realenergyintotheload#kwh
2023-03-25,1.5623,0.3977,1.1646,sudden_spike,-0.5186,solar.bun_hs2#realenergyintotheload#kwh
2023-10-11,1.6718,0.545,1.1269,sudden_spike,-0.1324,solar.bun_hs2#realenergyintotheload#kwh
2024-11-13,0.2551,1.3951,-1.1401,sudden_drop,-0.6043,solar.bun_hs2#realenergyintotheload#kwh
2025-03-29,0.2932,1.4671,-1.1739,sudden_drop,-0.0123,solar.bun_hs2#realenergyintotheload#kwh
